"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 9.49591941e-01, 1.14729976e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.81283027e-01, 1.14729976e+00, 9.49591941e-01, 0.00000000e+00, 8.27675530e-01, 0.00000000e+00, 0.00000000e+00, -1.51769232e+00, 4.67484180e-01, -1.12776226e+01, 3.95091379e+00, 0.00000000e+00, 12.0000000000, 4.0000000000, 0.0036946167
           1, 1.26278223e+00, 1.52162996e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.03823198e+00, 1.52162996e+00, 1.26278223e+00, 0.00000000e+00, 8.29887863e-01, 0.00000000e+00, 0.00000000e+00, -1.74764953e+00, 4.52550259e-01, 4.15558899e-01, 3.71878539e+00, 0.00000000e+00, 9.0000000000, 2.0020000000, 0.0072540167
           2, 1.48313664e+00, 1.77690914e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21778417e+00, 1.77690914e+00, 1.48313664e+00, 0.00000000e+00, 8.34672189e-01, 0.00000000e+00, 0.00000000e+00, -1.82912506e+00, 5.04889443e-01, 5.15260378e-01, 3.63765142e+00, 0.00000000e+00, 10.0000000000, 2.6088113825, 0.0097577333
           3, 1.58478190e+00, 1.88463928e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29968071e+00, 1.88463928e+00, 1.58478190e+00, 0.00000000e+00, 8.40894021e-01, 0.00000000e+00, 0.00000000e+00, -1.88284967e+00, 5.24748087e-01, 5.50968508e-01, 3.58450734e+00, 0.00000000e+00, 10.0000000000, 2.8653682527, 0.0122537000
           4, 1.60647757e+00, 1.89351113e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.31630529e+00, 1.89351113e+00, 1.60647757e+00, 0.00000000e+00, 8.48411999e-01, 0.00000000e+00, 0.00000000e+00, -1.90651426e+00, 5.19551601e-01, 5.50389507e-01, 3.56105336e+00, 0.00000000e+00, 10.0000000000, 3.0481950336, 0.0147635167
           5, 1.58646523e+00, 1.85183484e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.29929118e+00, 1.85183484e+00, 1.58646523e+00, 0.00000000e+00, 8.56699092e-01, 0.00000000e+00, 0.00000000e+00, -1.91951845e+00, 5.05870650e-01, 5.37472130e-01, 3.54803622e+00, 0.00000000e+00, 10.0000000000, 3.1323843433, 0.0172468333
           6, 1.55102223e+00, 1.79268094e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27021735e+00, 1.79268094e+00, 1.55102223e+00, 0.00000000e+00, 8.65197032e-01, 0.00000000e+00, 0.00000000e+00, -1.92999199e+00, 4.94515284e-01, 5.25579687e-01, 3.53755112e+00, 0.00000000e+00, 10.0000000000, 3.1796340487, 0.0198034000
           7, 1.51393484e+00, 1.73326041e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.24032292e+00, 1.73326041e+00, 1.51393484e+00, 0.00000000e+00, 8.73460697e-01, 0.00000000e+00, 0.00000000e+00, -1.93907905e+00, 4.88722561e-01, 5.19085621e-01, 3.52851916e+00, 0.00000000e+00, 10.0000000000, 3.2182065023, 0.0223026667
           8, 1.48089265e+00, 1.68057572e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.21418249e+00, 1.68057572e+00, 1.48089265e+00, 0.00000000e+00, 8.81181752e-01, 0.00000000e+00, 0.00000000e+00, -1.94648692e+00, 4.87784090e-01, 5.17639149e-01, 3.52122053e+00, 0.00000000e+00, 10.0000000000, 3.2520516830, 0.0248122833
           9, 1.45317959e+00, 1.63612655e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.19275957e+00, 1.63612655e+00, 1.45317959e+00, 0.00000000e+00, 8.88182879e-01, 0.00000000e+00, 0.00000000e+00, -1.95226860e+00, 4.90186669e-01, 5.19673225e-01, 3.51558600e+00, 0.00000000e+00, 11.0000000000, 3.2799058479, 0.0275035000
