"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9, 8.225136222757390e-01, 2.515232046956038e-02, 9.578492626156639e+04, -9.684210317862266e-01, 3.507748411793517e-01
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.118378882248545e+04, -1.772713262633831e+00, 3.153678392357465e-01
10, 8.200260467832016e-01, 2.539252195641499e-02, 9.568436242945123e+04, -9.859998826563378e-01, 3.528329683627358e-01
11, 8.175377577632659e-01, 2.562525228220698e-02, 9.568442959621550e+04, -9.859881417102364e-01, 3.538907414864983e-01
12, 8.150494053997525e-01, 2.585730328495838e-02, 9.566352107775181e+04, -9.896430116595769e-01, 3.543179302135280e-01
13, 8.125612681562145e-01, 2.609164618569462e-02, 9.562463609072439e+04, -9.964402206925254e-01, 3.546430470184539e-01
14, 8.100736413384225e-01, 2.633134669986020e-02, 9.556199888249600e+04, -1.007389387199089e+00, 3.551850199529770e-01
15, 8.075861411031177e-01, 2.657236023617366e-02, 9.552252989255800e+04, -1.014288681642438e+00, 3.557086321713913e-01
16, 8.050983003244567e-01, 2.680982892981015e-02, 9.551406620849768e+04, -1.015768158277117e+00, 3.560095160955077e-01
17, 8.026097805013100e-01, 2.704006178405967e-02, 9.557188510399370e+04, -1.005661246875459e+00, 3.559275614337065e-01
18, 8.001202191369430e-01, 2.725872824219831e-02, 9.568975096317107e+04, -9.850579512613484e-01, 3.550841186318887e-01
19, 7.976299100419458e-01, 2.746873693836867e-02, 9.580747324111298e+04, -9.644797540655540e-01, 3.535998879145486e-01
20, 7.951395049987100e-01, 2.767760816903780e-02, 9.587661924096092e+04, -9.523928318189981e-01, 3.520068101277983e-01
21, 7.926495253296556e-01, 2.789147910700565e-02, 9.590295754423024e+04, -9.477888196646782e-01, 3.508042627406668e-01
22, 7.901604084457454e-01, 2.811515432949274e-02, 9.585086849184385e+04, -9.568941377955268e-01, 3.503359562487323e-01
23, 7.876726360893644e-01, 2.835329772722824e-02, 9.574858979804350e+04, -9.747727514848623e-01, 3.505401010709591e-01
24, 7.851860137311606e-01, 2.860319472403092e-02, 9.563990158078032e+04, -9.937717685511530e-01, 3.512501734715411e-01
25, 7.826997616695721e-01, 2.885675985942484e-02, 9.556750335211662e+04, -1.006427189870838e+00, 3.521388363245689e-01
26, 7.802131787672552e-01, 2.910705016018034e-02, 9.553309602237507e+04, -1.012441691363509e+00, 3.529641869654290e-01
27, 7.777257582416482e-01, 2.934886607270285e-02, 9.555229196117085e+04, -1.009086185330124e+00, 3.533829735447083e-01
28, 7.752372116913747e-01, 2.957879026536043e-02, 9.561198454347660e+04, -9.986517480146982e-01, 3.532338345837039e-01
29, 7.727476516611527e-01, 2.979747058592683e-02, 9.567392025738901e+04, -9.878252047585384e-01, 3.527133522652530e-01
30, 7.702575074798030e-01, 3.000940591246718e-02, 9.572014522069180e+04, -9.797449464859054e-01, 3.519905810766321e-01
31, 7.677669502670271e-01, 3.021649311372681e-02, 9.575945418143077e+04, -9.728736256128296e-01, 3.513067348631340e-01
32, 7.652761283772814e-01, 3.042026514252212e-02, 9.580210880407867e+04, -9.654174732897005e-01, 3.506070748576588e-01
33, 7.627851331352427e-01, 3.062199303148362e-02, 9.584094779938864e+04, -9.586283037429690e-01, 3.498786402166514e-01
34, 7.602940580201185e-01, 3.082273685573188e-02, 9.587607980702161e+04, -9.524871264433572e-01, 3.492342615616033e-01
35, 7.578029756251976e-01, 3.102338959923085e-02, 9.590807640819826e+04, -9.468940273280543e-01, 3.485717611863176e-01
36, 7.553119487696932e-01, 3.122470829445093e-02, 9.592836287147801e+04, -9.433478944373725e-01, 3.479724913734344e-01
37, 7.528212258843371e-01, 3.142976405537950e-02, 9.589544146968442e+04, -9.491026513951399e-01, 3.476699173586582e-01
38, 7.503310574905883e-01, 3.164143081983112e-02, 9.583909828857081e+04, -9.589516036229110e-01, 3.477453001124203e-01
39, 7.478411455017506e-01, 3.185609753594928e-02, 9.579551659502555e+04, -9.665698106401384e-01, 3.480046778393272e-01
40, 7.453510864781877e-01, 3.206904888102160e-02, 9.578018194440463e+04, -9.692503522497870e-01, 3.483002468968354e-01
41, 7.428605822980964e-01, 3.227672421441647e-02, 9.578716664486348e+04, -9.680294062580118e-01, 3.483947506113043e-01
42, 7.403695243637490e-01, 3.247764954030886e-02, 9.580889554515695e+04, -9.642311311744509e-01, 3.482759703084334e-01
43, 7.378779335327420e-01, 3.267185688896018e-02, 9.584098089820912e+04, -9.586225179727078e-01, 3.480081683829406e-01
44, 7.353858806094327e-01, 3.286003900423798e-02, 9.587178671681331e+04, -9.532375711206966e-01, 3.475861913496572e-01
45, 7.328934417843262e-01, 3.304304175318287e-02, 9.590658763010630e+04, -9.471542700764354e-01, 3.471449327110510e-01
46, 7.304006841248106e-01, 3.322165438995912e-02, 9.594502092136434e+04, -9.404360187800946e-01, 3.466467718081878e-01
47, 7.279076713423368e-01, 3.339668138797516e-02, 9.597967072058046e+04, -9.343791329167768e-01, 3.460755606674730e-01
