"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 6.32677671e-02, 3.65766252e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.25160334e-02, 3.65766252e-01, 6.32677671e-02, 0.00000000e+00, 1.72973222e-01, 0.00000000e+00, 0.00000000e+00, -1.76628652e+00, 6.66016377e-02, -1.11335666e+01, 3.69883034e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0012866000
           1, 8.29988461e-02, 4.78854589e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56389867e-02, 4.78854589e-01, 8.29988461e-02, 0.00000000e+00, 1.73327870e-01, 0.00000000e+00, 0.00000000e+00, -2.01344654e+00, 9.33926326e-02, 1.93319250e-01, 3.45343317e+00, 0.00000000e+00, 8.0000000000, 2.0020000000, 0.0032150333
           2, 9.53846485e-02, 5.46699362e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.10978266e-01, 5.46699362e-01, 9.53846485e-02, 0.00000000e+00, 1.74473678e-01, 0.00000000e+00, 0.00000000e+00, -2.10419393e+00, 2.03812808e-01, 2.97082024e-01, 3.36120600e+00, 0.00000000e+00, 8.0000000000, 2.6609951507, 0.0043819833
           3, 9.89689613e-02, 5.60685094e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.16717842e-01, 5.60685094e-01, 9.89689613e-02, 0.00000000e+00, 1.76514344e-01, 0.00000000e+00, 0.00000000e+00, -2.16531640e+00, 2.50506791e-01, 3.39565976e-01, 3.29799718e+00, 0.00000000e+00, 9.0000000000, 2.9540495726, 0.0056203333
           4, 9.67525471e-02, 5.39648930e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.15949175e-01, 5.39648930e-01, 9.67525471e-02, 0.00000000e+00, 1.79287944e-01, 0.00000000e+00, 0.00000000e+00, -2.18982149e+00, 2.53183577e-01, 3.45256536e-01, 3.27216543e+00, 0.00000000e+00, 9.0000000000, 3.1694143124, 0.0069255833
           5, 9.17295370e-02, 5.02878251e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11744495e-01, 5.02878251e-01, 9.17295370e-02, 0.00000000e+00, 1.82409036e-01, 0.00000000e+00, 0.00000000e+00, -2.20134415e+00, 2.40546323e-01, 3.37448295e-01, 3.25943643e+00, 0.00000000e+00, 9.0000000000, 3.2601048097, 0.0082803833
           6, 8.58374060e-02, 4.62848855e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.06208856e-01, 4.62848855e-01, 8.58374060e-02, 0.00000000e+00, 1.85454506e-01, 0.00000000e+00, 0.00000000e+00, -2.20998508e+00, 2.29506789e-01, 3.28997779e-01, 3.24946487e+00, 0.00000000e+00, 9.0000000000, 3.3036413154, 0.0095236167
           7, 8.00342133e-02, 4.25497945e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00440246e-01, 4.25497945e-01, 8.00342133e-02, 0.00000000e+00, 1.88095417e-01, 0.00000000e+00, 0.00000000e+00, -2.21738725e+00, 2.24290570e-01, 3.23807500e-01, 3.24087659e+00, 0.00000000e+00, 9.0000000000, 3.3366707481, 0.0108163333
           8, 7.46872779e-02, 3.92933122e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.49083961e-02, 3.92933122e-01, 7.46872779e-02, 0.00000000e+00, 1.90076310e-01, 0.00000000e+00, 0.00000000e+00, -2.22348128e+00, 2.23502662e-01, 3.21368097e-01, 3.23391429e+00, 0.00000000e+00, 9.0000000000, 3.3652275965, 0.0120460333
           9, 6.98602910e-02, 3.65334548e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.97470280e-02, 3.65334548e-01, 6.98602910e-02, 0.00000000e+00, 1.91222788e-01, 0.00000000e+00, 0.00000000e+00, -2.22827808e+00, 2.25393717e-01, 3.20401799e-01, 3.22854380e+00, 0.00000000e+00, 9.0000000000, 3.3889210975, 0.0133139333
          10, 6.54787651e-02, 3.42076977e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.49351002e-02, 3.42076977e-01, 6.54787651e-02, 0.00000000e+00, 1.91415294e-01, 0.00000000e+00, 0.00000000e+00, -2.23195351e+00, 2.29189216e-01, 3.20096691e-01, 3.22449601e+00, 0.00000000e+00, 9.0000000000, 3.4076882476, 0.0145605833
          11, 6.14232861e-02, 3.22321581e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.03981309e-02, 3.22321581e-01, 6.14232861e-02, 0.00000000e+00, 1.90565229e-01, 0.00000000e+00, 0.00000000e+00, -2.23473529e+00, 2.34591711e-01, 3.20129493e-01, 3.22147464e+00, 0.00000000e+00, 9.0000000000, 3.4221384274, 0.0158802333
          12, 5.75760457e-02, 3.05287909e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.60591006e-02, 3.05287909e-01, 5.75760457e-02, 0.00000000e+00, 1.88595893e-01, 0.00000000e+00, 0.00000000e+00, -2.23685570e+00, 2.41276420e-01, 3.20404864e-01, 3.21922080e+00, 0.00000000e+00, 9.0000000000, 3.4331158458, 0.0171307167
          13, 5.38405852e-02, 2.90347358e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.18582313e-02, 2.90347358e-01, 5.38405852e-02, 0.00000000e+00, 1.85435079e-01, 0.00000000e+00, 0.00000000e+00, -2.23855424e+00, 2.48755156e-01, 3.20884374e-01, 3.21749032e+00, 0.00000000e+00, 9.0000000000, 3.4415070537, 0.0183807500
          14, 5.01480326e-02, 2.77030085e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 6.77568914e-02, 2.77030085e-01, 5.01480326e-02, 0.00000000e+00, 1.81020169e-01, 0.00000000e+00, 0.00000000e+00, -2.24007781e+00, 2.56499111e-01, 3.21515138e-01, 3.21603011e+00, 0.00000000e+00, 9.0000000000, 3.4482435752, 0.0196305500
