"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
6, 9.950827046237009e-01, 6.845699853507692e-04, 1.014973273343332e+05, 6.074066276593715e-02, 1.710479900056284e-01
0, 1.000000000000000e+00, -2.000000000000000e-04, 9.740937459006505e+04, -1.380150650289008e+00, 1.396866932526520e-01
7, 9.901755696765141e-01, 1.623944814028863e-03, 1.011640018290840e+05, -5.674744313419855e-02, 1.768765488061678e-01
8, 9.852660893898015e-01, 2.550967402517561e-03, 1.010640332274943e+05, -9.198363558058539e-02, 1.815115054391072e-01
9, 9.803543020099121e-01, 3.465804023209216e-03, 1.009883073535432e+05, -1.186749309001274e-01, 1.849313416521027e-01
10, 9.754387666484367e-01, 4.360156653492934e-03, 1.009783388367428e+05, -1.221885598876479e-01, 1.873240168884941e-01
11, 9.705158068047882e-01, 5.212720007029531e-03, 1.010009930854376e+05, -1.142035580566174e-01, 1.888171874687270e-01
12, 9.655892340898633e-01, 6.044225864561168e-03, 1.009802981631458e+05, -1.214979510254047e-01, 1.897809214967079e-01
13, 9.606617231538090e-01, 6.870150756332948e-03, 1.009416063802446e+05, -1.351357441596750e-01, 1.908150279245334e-01
14, 9.557326457419496e-01, 7.686670095915061e-03, 1.009107026272784e+05, -1.460284701708087e-01, 1.918286255318706e-01
15, 9.508015982679531e-01, 8.491205326162637e-03, 1.008874825489713e+05, -1.542129114337437e-01, 1.928257361854099e-01
16, 9.458682672764155e-01, 9.281613739045220e-03, 1.008771611238057e+05, -1.578509309486167e-01, 1.937371526403388e-01
17, 9.409323662383500e-01, 1.005580724894445e-02, 1.008778739400629e+05, -1.575996827524994e-01, 1.943863625763940e-01
18, 9.359947545200707e-01, 1.081901155860989e-02, 1.008581357119541e+05, -1.645568672397650e-01, 1.950166037199201e-01
19, 9.310570436964019e-01, 1.158158855467245e-02, 1.008165580147531e+05, -1.792118660769550e-01, 1.957916868117494e-01
20, 9.261184752327613e-01, 1.233860731454963e-02, 1.007879488266143e+05, -1.892958208683759e-01, 1.967384769752641e-01
21, 9.211784059446014e-01, 1.308573766505687e-02, 1.007702005500546e+05, -1.955516019686927e-01, 1.975099126308386e-01
22, 9.162363242767240e-01, 1.381944249952512e-02, 1.007489545585416e+05, -2.030402317360666e-01, 1.981241964946590e-01
23, 9.112918412512103e-01, 1.453680049818912e-02, 1.007411038212669e+05, -2.058074014779499e-01, 1.986992260920760e-01
24, 9.063446718437492e-01, 1.523537710379812e-02, 1.007335358614357e+05, -2.084748999204639e-01, 1.992676868544532e-01
25, 9.013946097750408e-01, 1.591312916390141e-02, 1.007405050053453e+05, -2.060184676799345e-01, 1.997150859490632e-01
26, 8.964417744182683e-01, 1.657035103626082e-02, 1.007416010844527e+05, -2.056321298323323e-01, 2.001005857320196e-01
