"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -1.77719901e-03, 1.05671068e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.86202714e-04, 1.05671068e-02, -1.77719901e-03, 0.00000000e+00, -1.68182176e-01, 0.00000000e+00, 0.00000000e+00, 2.24987121e+00, 5.49293379e+00, 3.93663069e+00, 8.48967878e+00, 0.00000000e+00, 7.0000000000, 4.0000000000, 0.0014617667
           1, -2.36516244e-03, 1.60575993e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.34896929e-04, 1.60575993e-02, -2.36516244e-03, 0.00000000e+00, -1.47292406e-01, 0.00000000e+00, 0.00000000e+00, 2.26653699e+00, 5.51030618e+00, 3.97520149e+00, 8.50752458e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0031575000
           2, -2.79756753e-03, 2.22868962e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.92550693e-04, 2.22868962e-02, -2.79756753e-03, 0.00000000e+00, -1.25525219e-01, 0.00000000e+00, 0.00000000e+00, 2.28018631e+00, 5.52439650e+00, 4.00076262e+00, 8.52194061e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0043986000
           3, -3.15403364e-03, 2.94507581e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.95051737e-04, 2.94507581e-02, -3.15403364e-03, 0.00000000e+00, -1.07095160e-01, 0.00000000e+00, 0.00000000e+00, 2.29489109e+00, 5.53951814e+00, 4.02738564e+00, 8.53737609e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0057395333
           4, -3.48446643e-03, 3.76175811e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.62291354e-04, 3.76175811e-02, -3.48446643e-03, 0.00000000e+00, -9.26286680e-02, 0.00000000e+00, 0.00000000e+00, 2.30983611e+00, 5.55484353e+00, 4.05440048e+00, 8.55299066e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0071480500
           5, -3.81654152e-03, 4.67165419e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -7.06141013e-04, 4.67165419e-02, -3.81654152e-03, 0.00000000e+00, -8.16957199e-02, 0.00000000e+00, 0.00000000e+00, 2.32465238e+00, 5.57000552e+00, 4.08148692e+00, 8.56841641e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0084065333
           6, -4.13766450e-03, 5.64965898e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.40077144e-04, 5.64965898e-02, -4.13766450e-03, 0.00000000e+00, -7.32374203e-02, 0.00000000e+00, 0.00000000e+00, 2.33917371e+00, 5.58484321e+00, 4.10838713e+00, 8.58349523e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0096105000
           7, -4.41988425e-03, 6.65348900e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.76624498e-04, 6.65348900e-02, -4.41988425e-03, 0.00000000e+00, -6.64295718e-02, 0.00000000e+00, 0.00000000e+00, 2.35333068e+00, 5.59929293e+00, 4.13486315e+00, 8.59816688e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0108410667
           8, -4.60241242e-03, 7.55959951e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.33231716e-04, 7.55959951e-02, -4.60241242e-03, 0.00000000e+00, -6.08816963e-02, 0.00000000e+00, 0.00000000e+00, 2.36710207e+00, 5.61333855e+00, 4.16069928e+00, 8.61241850e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0121156000
           9, -4.67384887e-03, 8.28029118e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.14494408e-04, 8.28029118e-02, -4.67384887e-03, 0.00000000e+00, -5.64454651e-02, 0.00000000e+00, 0.00000000e+00, 2.38049090e+00, 5.62698724e+00, 4.18570951e+00, 8.62626001e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0133418500
          10, -4.48424341e-03, 8.70734445e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -5.56078663e-04, 8.70734445e-02, -4.48424341e-03, 0.00000000e+00, -5.14995523e-02, 0.00000000e+00, 0.00000000e+00, 2.39351173e+00, 5.64025679e+00, 4.20974059e+00, 8.63971127e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0145402333
          11, -4.03512623e-03, 8.85529846e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -6.58120917e-04, 8.85529846e-02, -4.03512623e-03, 0.00000000e+00, -4.55673656e-02, 0.00000000e+00, 0.00000000e+00, 2.40618368e+00, 5.65316860e+00, 4.23267810e+00, 8.65279512e+00, 0.00000000e+00, 5.0000000000, 2.0020000000, 0.0157533000
