"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
7, 8.225136222757390e-01, 2.515232046956038e-02, 7.758777149949234e+04, -1.338675605400312e-02, 3.460315343487558e+00
8, 8.200260467832016e-01, 2.539252195641499e-02, 7.820555672576986e+04, -1.303835227477644e-02, 3.454095120160586e+00
9, 8.175377577632659e-01, 2.562525228220698e-02, 7.841214035322877e+04, -1.292184816708399e-02, 3.451868982153453e+00
10, 8.150494053997525e-01, 2.585730328495838e-02, 7.834908218821818e+04, -1.295741020720134e-02, 3.451764372645540e+00
11, 8.125612681562145e-01, 2.609164618569462e-02, 7.827646533828956e+04, -1.299836292648715e-02, 3.452185585816171e+00
12, 8.100736413384225e-01, 2.633134669986020e-02, 7.871347636203613e+04, -1.275190787097465e-02, 3.447825719566814e+00
13, 8.075861411031177e-01, 2.657236023617366e-02, 7.920188166089135e+04, -1.247646869781603e-02, 3.442524022693600e+00
14, 8.050983003244567e-01, 2.680982892981015e-02, 8.013568315052650e+04, -1.194984560260745e-02, 3.433899984493817e+00
15, 8.026097805013100e-01, 2.704006178405967e-02, 8.108472095152065e+04, -1.141462989586795e-02, 3.424763921480140e+00
16, 8.001202191369430e-01, 2.725872824219831e-02, 8.168907636780156e+04, -1.107379994061454e-02, 3.418718035602765e+00
17, 7.976299100419458e-01, 2.746873693836867e-02, 8.181525650607886e+04, -1.100263987532122e-02, 3.417088797335788e+00
18, 7.951395049987100e-01, 2.767760816903780e-02, 8.076921083238399e+04, -1.159256376870241e-02, 3.425561157670538e+00
19, 7.926495253296556e-01, 2.789147910700565e-02, 7.951050178955395e+04, -1.230242047749945e-02, 3.435857996295460e+00
20, 7.901604084457454e-01, 2.811515432949274e-02, 7.808471583292457e+04, -1.310650123975915e-02, 3.448205530157056e+00
21, 7.876726360893644e-01, 2.835329772722824e-02, 7.724912180555542e+04, -1.357773963241033e-02, 3.455106178723090e+00
22, 7.851860137311606e-01, 2.860319472403092e-02, 7.713843225024494e+04, -1.364016368813510e-02, 3.456008610663353e+00
23, 7.826997616695721e-01, 2.885675985942484e-02, 7.857012791817830e+04, -1.283275010782656e-02, 3.442868972576274e+00
24, 7.802131787672552e-01, 2.910705016018034e-02, 7.977419052178171e+04, -1.215371159463863e-02, 3.431676832822230e+00
25, 7.777257582416482e-01, 2.934886607270285e-02, 8.053605297999458e+04, -1.172405457403993e-02, 3.424521019269341e+00
26, 7.752372116913747e-01, 2.957879026536043e-02, 8.208685867141701e+04, -1.084946816317112e-02, 3.411155879462395e+00
27, 7.727476516611527e-01, 2.979747058592683e-02, 8.334736737939047e+04, -1.013859652214418e-02, 3.400081974050168e+00
28, 7.702575074798030e-01, 3.000940591246718e-02, 8.406080374784127e+04, -9.736249692803907e-03, 3.393581442517645e+00
