"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 2.19960540e+00, 1.92034118e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.40032924e+00, 1.76222661e+00, 2.32820350e+00, 0.00000000e+00, 1.14542427e+00, 4.00000000e+00, 0.00000000e+00, -1.78408990e+00, 4.77390470e-02, -1.10761722e+00, 3.68102696e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0028375872
           1, 2.90628367e+00, 2.53766545e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.85076412e+00, 2.32875173e+00, 3.07622270e+00, 0.00000000e+00, 1.14525879e+00, 4.00000000e+00, 0.00000000e+00, -2.01729745e+00, 1.46801379e-01, 1.59040301e-01, 3.44660221e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0053130143
           2, 3.38270357e+00, 2.94900546e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.15362297e+00, 2.70585636e+00, 3.58017570e+00, 0.00000000e+00, 1.14706589e+00, 4.00000000e+00, 0.00000000e+00, -2.09574953e+00, 2.20758201e-01, 2.57882615e-01, 3.36826709e+00, 0.00000000e+00, 8.0000000000, 2.6185920958, 0.0079246954
           3, 3.58588897e+00, 3.11529816e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28191590e+00, 2.85757048e+00, 3.79446614e+00, 0.00000000e+00, 1.15105803e+00, 4.00000000e+00, 0.00000000e+00, -2.14307195e+00, 2.50097065e-01, 2.93499596e-01, 3.32111631e+00, 0.00000000e+00, 9.0000000000, 2.8661168267, 0.0106162607
           4, 3.61625858e+00, 3.12438102e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.30014877e+00, 2.86451273e+00, 3.82539535e+00, 0.00000000e+00, 1.15743200e+00, 4.00000000e+00, 0.00000000e+00, -2.16071703e+00, 2.51030692e-01, 2.95376432e-01, 3.30349749e+00, 0.00000000e+00, 9.0000000000, 3.0266005038, 0.0133167443
           5, 3.56417373e+00, 3.05723755e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.26627259e+00, 2.80116608e+00, 3.76875369e+00, 0.00000000e+00, 1.16581511e+00, 4.00000000e+00, 0.00000000e+00, -2.16873186e+00, 2.43327079e-01, 2.87897399e-01, 3.29549793e+00, 0.00000000e+00, 9.0000000000, 3.0887135872, 0.0159800990
           6, 3.48696277e+00, 2.96606444e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.21687072e+00, 2.71560103e+00, 3.68537090e+00, 0.00000000e+00, 1.17561936e+00, 4.00000000e+00, 0.00000000e+00, -2.17420723e+00, 2.37933206e-01, 2.83165222e-01, 3.29011396e+00, 0.00000000e+00, 9.0000000000, 3.1173463469, 0.0187119433
           7, 3.41263635e+00, 2.87684795e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.16966477e+00, 2.63178662e+00, 3.60500211e+00, 0.00000000e+00, 1.18624147e+00, 4.00000000e+00, 0.00000000e+00, -2.17774071e+00, 2.38023193e-01, 2.84098540e-01, 3.28674516e+00, 0.00000000e+00, 9.0000000000, 3.1370593932, 0.0214233053
           8, 3.35150858e+00, 2.79963535e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.13105142e+00, 2.55902616e+00, 3.53863716e+00, 0.00000000e+00, 1.19712325e+00, 4.00000000e+00, 0.00000000e+00, -2.17897556e+00, 2.43077558e-01, 2.89639650e-01, 3.28572297e+00, 0.00000000e+00, 9.0000000000, 3.1498471492, 0.0243610276
           9, 3.30474256e+00, 2.73611283e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.10162407e+00, 2.49892061e+00, 3.48755396e+00, 0.00000000e+00, 1.20782393e+00, 4.00000000e+00, 0.00000000e+00, -2.17810169e+00, 2.51744431e-01, 2.98131709e-01, 3.28683710e+00, 0.00000000e+00, 9.0000000000, 3.1543283850, 0.0274537326
