"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.578694900426370e+04, -1.952011207125690e+00, 1.859663743691999e-01
2, 8.250000000000000e-01, 2.410000000000000e-02, 9.810080949767338e+04, -1.136438793953902e+00, 1.856306792730673e-01
689, 8.225415635108477e-01, 2.436799320451974e-02, 1.023960461038475e+05, 3.775143998616714e-01, 1.727872438373364e-01
9, 8.225136226387016e-01, 2.515232043339546e-02, 9.873164038689825e+04, -9.140881932613426e-01, 2.158507850349063e-01
10, 8.200260471543273e-01, 2.539252192140721e-02, 9.861513418479107e+04, -9.551534366814473e-01, 2.187465869104951e-01
11, 8.175377580736038e-01, 2.562525225330303e-02, 9.862109926605813e+04, -9.530509090063357e-01, 2.200277529395189e-01
12, 8.150494056560841e-01, 2.585730326097809e-02, 9.861183845986785e+04, -9.563150893983812e-01, 2.204477099774597e-01
13, 8.125612684508878e-01, 2.609164615763166e-02, 9.859263779363272e+04, -9.630827980569178e-01, 2.206140273059501e-01
14, 8.100736416201473e-01, 2.633134667253036e-02, 9.856165728978712e+04, -9.740025766497048e-01, 2.208017606640539e-01
15, 8.075861413707953e-01, 2.657236021035633e-02, 9.854328747480438e+04, -9.804774330110384e-01, 2.210650345273922e-01
16, 8.050983005777557e-01, 2.680982890594723e-02, 9.854308546089738e+04, -9.805486373771193e-01, 2.212766982108016e-01
17, 8.026097807389289e-01, 2.704006176252642e-02, 9.857089078862498e+04, -9.707480213510347e-01, 2.212569980263703e-01
18, 8.001202193910897e-01, 2.725872822046140e-02, 9.862771817299508e+04, -9.507179257005103e-01, 2.208698782015236e-01
19, 7.976299103154193e-01, 2.746873691549538e-02, 9.867397334981119e+04, -9.344142434841251e-01, 2.201506168679886e-01
20, 7.951395052898186e-01, 2.767760814443504e-02, 9.869892120143620e+04, -9.256208094758034e-01, 2.192297913509022e-01
21, 7.926495256345669e-01, 2.789147908029706e-02, 9.871270681683149e+04, -9.207617578402287e-01, 2.187891948672341e-01
22, 7.901604087594338e-01, 2.811515430051675e-02, 9.866739658620588e+04, -9.367323724204706e-01, 2.183610158809084e-01
23, 7.876726363291976e-01, 2.835329770356289e-02, 9.861750878751473e+04, -9.543164542967365e-01, 2.182747259413270e-01
24, 7.851860140325140e-01, 2.860319469336427e-02, 9.856758219754481e+04, -9.719142090357037e-01, 2.185561995299765e-01
25, 7.826997620317609e-01, 2.885675982257701e-02, 9.853817605334400e+04, -9.822790689986270e-01, 2.189673159385979e-01
26, 7.802131791877395e-01, 2.910705011845795e-02, 9.852428538423154e+04, -9.871751491905334e-01, 2.193930738877599e-01
27, 7.777257587144731e-01, 2.934886602779452e-02, 9.853545111788709e+04, -9.832395340710273e-01, 2.195703071797760e-01
28, 7.752372122105796e-01, 2.957879021879723e-02, 9.856540795181318e+04, -9.726805710714546e-01, 2.195336062359365e-01
29, 7.727476520852741e-01, 2.979747054931257e-02, 9.859457548106782e+04, -9.623998163378736e-01, 2.193259398268256e-01
30, 7.702575079095536e-01, 3.000940587636148e-02, 9.861423245334368e+04, -9.554712723049323e-01, 2.190369123286414e-01
31, 7.677669507060569e-01, 3.021649307755715e-02, 9.863189131823467e+04, -9.492470063675327e-01, 2.187132820431858e-01
32, 7.652761288197965e-01, 3.042026510653761e-02, 9.864908182404043e+04, -9.431878241724180e-01, 2.183729550113089e-01
33, 7.627851335841417e-01, 3.062199299524906e-02, 9.866381476450917e+04, -9.379948664096555e-01, 2.179877422346457e-01
34, 7.602940584713866e-01, 3.082273681939956e-02, 9.867680346249510e+04, -9.334167063215623e-01, 2.175987825593763e-01
35, 7.578029760799381e-01, 3.102338956256240e-02, 9.868558504243278e+04, -9.303214400504812e-01, 2.171942839998411e-01
36, 7.553119492225100e-01, 3.122470825775355e-02, 9.869091096959138e+04, -9.284441966827468e-01, 2.168150137257832e-01
37, 7.528212255814778e-01, 3.142976408076715e-02, 9.866958492362115e+04, -9.359610434524160e-01, 2.165817700136605e-01
38, 7.503310575910006e-01, 3.164143081120371e-02, 9.863984899929195e+04, -9.464421418730573e-01, 2.166025915038822e-01
39, 7.478411460127478e-01, 3.185609749191510e-02, 9.861744326746608e+04, -9.543395483183257e-01, 2.167368368020622e-01
40, 7.453510873861987e-01, 3.206904880418379e-02, 9.861006962863482e+04, -9.569385539336560e-01, 2.168462217031162e-01
41, 7.428605835724842e-01, 3.227672410984248e-02, 9.861488595426139e+04, -9.552409311404626e-01, 2.168975646011813e-01
42, 7.403695259690530e-01, 3.247764941305998e-02, 9.862628514071133e+04, -9.512230303086484e-01, 2.168792602483919e-01
43, 7.378779354348607e-01, 3.267185674311956e-02, 9.863939397741004e+04, -9.466025246166707e-01, 2.168024520017197e-01
44, 7.353858827760212e-01, 3.286003884301895e-02, 9.865236913670793e+04, -9.420291365450884e-01, 2.166793788413905e-01
45, 7.328934441892304e-01, 3.304304157885514e-02, 9.866411841609428e+04, -9.378878375473972e-01, 2.164740069902017e-01
46, 7.304006867519286e-01, 3.322165420379598e-02, 9.867578442009466e+04, -9.337758908411208e-01, 2.162203686853927e-01
47, 7.279076751456945e-01, 3.339668112309027e-02, 9.868781514750181e+04, -9.295353891291075e-01, 2.159795025982473e-01
48, 7.254144906662131e-01, 3.356924602570246e-02, 9.869797123114247e+04, -9.259556479706510e-01, 2.157090736350601e-01
49, 7.229211875949434e-01, 3.374008669798530e-02, 9.870431583378848e+04, -9.237193494101437e-01, 2.153887909974226e-01
50, 7.204277957494494e-01, 3.390962713973104e-02, 9.870912240409754e+04, -9.220251650990323e-01, 2.151186611572929e-01
51, 7.179343340945276e-01, 3.407813733201621e-02, 9.871626324386947e+04, -9.195082147723130e-01, 2.148947430726251e-01
52, 7.154408152420568e-01, 3.424580138221561e-02, 9.872136799375054e+04, -9.177089303336025e-01, 2.146434416173654e-01
53, 7.129472487316210e-01, 3.441275105573839e-02, 9.872725585633591e+04, -9.156336201276285e-01, 2.143870219951670e-01
54, 7.104536408739914e-01, 3.457908417025080e-02, 9.872994166276489e+04, -9.146869469652499e-01, 2.141127845813562e-01
55, 7.079599969180962e-01, 3.474487522127141e-02, 9.873081951421022e+04, -9.143775283880655e-01, 2.139053318946382e-01
56, 7.054663208822650e-01, 3.491018206008210e-02, 9.873372218283598e+04, -9.133544172443777e-01, 2.137249391732745e-01
57, 7.029726157628364e-01, 3.507505017696454e-02, 9.873675124191874e+04, -9.122867569282929e-01, 2.135525680836086e-01
58, 7.004788840632167e-01, 3.523951551269368e-02, 9.873955501051553e+04, -9.112985053344870e-01, 2.133771639736232e-01
59, 6.979851276853799e-01, 3.540360637157854e-02, 9.873938788576162e+04, -9.113574122302275e-01, 2.131939448547130e-01
60, 6.954913480921168e-01, 3.556734466518307e-02, 9.874175439867684e+04, -9.105232812812932e-01, 2.130359159764690e-01
61, 6.929975465662574e-01, 3.573074665711098e-02, 9.874189270535164e+04, -9.104745319686871e-01, 2.128678802961059e-01
62, 6.905037235412675e-01, 3.589382334478406e-02, 9.873876781276992e+04, -9.115759709668613e-01, 2.127067072185708e-01
63, 6.880098797288113e-01, 3.605658028856105e-02, 9.874003497983947e+04, -9.111293293012321e-01, 2.125780299797464e-01
