"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 5.26823726e-01, 1.53752132e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.66213858e-01, 1.57052536e+00, 4.18288344e-01, 0.00000000e+00, 3.42644827e-01, -4.00000000e+00, 0.00000000e+00, -1.82400733e+00, 7.82161166e-03, -1.14753466e+00, 3.64110952e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0016711708
           1, 6.97865637e-01, 2.03005004e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.14445684e+00, 2.07378559e+00, 5.54556539e-01, 0.00000000e+00, 3.43767701e-01, -4.00000000e+00, 0.00000000e+00, -2.05830655e+00, 1.18275735e-01, 1.08701205e-01, 3.40545299e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0031642855
           2, 8.14491122e-01, 2.35639575e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.33202205e+00, 2.40747171e+00, 6.48133204e-01, 0.00000000e+00, 3.45651244e-01, -4.00000000e+00, 0.00000000e+00, -2.13770819e+00, 1.92495057e-01, 2.07267118e-01, 3.32610064e+00, 0.00000000e+00, 8.0000000000, 2.6218852787, 0.0047262849
           3, 8.64419750e-01, 2.48591267e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41194422e+00, 2.54015599e+00, 6.88905565e-01, 0.00000000e+00, 3.47727320e-01, -4.00000000e+00, 0.00000000e+00, -2.18667614e+00, 2.21300540e-01, 2.42699221e-01, 3.27718841e+00, 0.00000000e+00, 9.0000000000, 2.8728602728, 0.0064550644
           4, 8.71592168e-01, 2.48867926e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.42400882e+00, 2.54341616e+00, 6.95867524e-01, 0.00000000e+00, 3.50222780e-01, -4.00000000e+00, 0.00000000e+00, -2.20613541e+00, 2.21091260e-01, 2.44467664e-01, 3.25764546e+00, 0.00000000e+00, 9.0000000000, 3.0394742995, 0.0081501720
           5, 8.58211068e-01, 2.42953275e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.40397783e+00, 2.48348030e+00, 6.86644872e-01, 0.00000000e+00, 3.53241202e-01, -4.00000000e+00, 0.00000000e+00, -2.21591068e+00, 2.11672518e-01, 2.36669647e-01, 3.24780563e+00, 0.00000000e+00, 9.0000000000, 3.1083371112, 0.0098365538
           6, 8.38570521e-01, 2.35055798e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.37451343e+00, 2.40332786e+00, 6.72561169e-01, 0.00000000e+00, 3.56753813e-01, -4.00000000e+00, 0.00000000e+00, -2.22310043e+00, 2.04198835e-01, 2.31207075e-01, 3.24064863e+00, 0.00000000e+00, 9.0000000000, 3.1435165210, 0.0115292887
           7, 8.19595593e-01, 2.27296787e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34654992e+00, 2.32460313e+00, 6.59044875e-01, 0.00000000e+00, 3.60583888e-01, -4.00000000e+00, 0.00000000e+00, -2.22833968e+00, 2.01984114e-01, 2.30994108e-01, 3.23553241e+00, 0.00000000e+00, 9.0000000000, 3.1696449738, 0.0132234002
           8, 8.03646541e-01, 2.20510835e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.32390952e+00, 2.25579637e+00, 6.47868316e-01, 0.00000000e+00, 3.64447643e-01, -4.00000000e+00, 0.00000000e+00, -2.23125980e+00, 2.04585706e-01, 2.35102741e-01, 3.23279292e+00, 0.00000000e+00, 9.0000000000, 3.1888217851, 0.0149372663
           9, 7.90676362e-01, 2.14853093e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.30675317e+00, 2.19845201e+00, 6.38876373e-01, 0.00000000e+00, 3.68007903e-01, -4.00000000e+00, 0.00000000e+00, -2.23203325e+00, 2.10722004e-01, 2.42032403e-01, 3.23223132e+00, 0.00000000e+00, 9.0000000000, 3.1995603465, 0.0166848136
