"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.560923686104412e+04, -2.014649867454754e+00, 2.197505978209704e-01
2, 8.250000000000000e-01, 2.410000000000000e-02, 9.771089786553990e+04, -1.273871958852386e+00, 1.811791054438622e-01
689, 8.225415635108477e-01, 2.436799320451974e-02, 1.019216847090392e+05, 2.103150079444594e-01, 1.664322929099607e-01
9, 8.225136226387016e-01, 2.515232043339546e-02, 9.894115570742139e+04, -8.402397844907151e-01, 2.578971323896764e-01
10, 8.200260471543273e-01, 2.539252192140721e-02, 9.881648662338842e+04, -8.841822200879688e-01, 2.613886147504551e-01
11, 8.175377580736038e-01, 2.562525225330303e-02, 9.883213776620205e+04, -8.786656211617310e-01, 2.626221856992466e-01
12, 8.150494056560841e-01, 2.585730326097809e-02, 9.882958059821883e+04, -8.795669527972817e-01, 2.628438901488616e-01
13, 8.125612684508878e-01, 2.609164615763166e-02, 9.881220225153782e+04, -8.856923437531919e-01, 2.628362474541375e-01
14, 8.100736416201473e-01, 2.633134667253036e-02, 9.878011027374174e+04, -8.970038864538654e-01, 2.629090635545968e-01
15, 8.075861413707953e-01, 2.657236021035633e-02, 9.876368295926263e+04, -9.027940646213983e-01, 2.630651974781014e-01
16, 8.050983005777557e-01, 2.680982890594723e-02, 9.877198536598627e+04, -8.998676937766484e-01, 2.631496609087971e-01
17, 8.026097807389289e-01, 2.704006176252642e-02, 9.881764793047604e+04, -8.837728911649068e-01, 2.629399472403366e-01
18, 8.001202193910897e-01, 2.725872822046140e-02, 9.889878990854707e+04, -8.551725675700290e-01, 2.622725164031217e-01
19, 7.976299103154193e-01, 2.746873691549538e-02, 9.897014328373120e+04, -8.300224582386232e-01, 2.611883401181996e-01
20, 7.951395052898186e-01, 2.767760814443504e-02, 9.901431868747245e+04, -8.144518390354769e-01, 2.598875252260325e-01
21, 7.926495256345669e-01, 2.789147908029706e-02, 9.904402243458628e+04, -8.039820822014450e-01, 2.592284821856746e-01
22, 7.901604087594338e-01, 2.811515430051675e-02, 9.899437048492878e+04, -8.214830337567323e-01, 2.586327603266508e-01
23, 7.876726363291976e-01, 2.835329770356289e-02, 9.893910031035138e+04, -8.409642556302636e-01, 2.584476737051740e-01
24, 7.851860140325140e-01, 2.860319469336427e-02, 9.888132402247847e+04, -8.613288137610703e-01, 2.587065824076025e-01
25, 7.826997620317609e-01, 2.885675982257701e-02, 9.884729331217536e+04, -8.733237065400024e-01, 2.591191331531568e-01
26, 7.802131791877395e-01, 2.910705011845795e-02, 9.883645762981963e+04, -8.771429876212917e-01, 2.595210225198740e-01
27, 7.777257587144731e-01, 2.934886602779452e-02, 9.885462371531119e+04, -8.707399403224466e-01, 2.596234272116713e-01
28, 7.752372122105796e-01, 2.957879021879723e-02, 9.889848366418945e+04, -8.552805103135418e-01, 2.594511866113444e-01
29, 7.727476520852741e-01, 2.979747054931257e-02, 9.894384956273103e+04, -8.392902743184827e-01, 2.590565623052325e-01
30, 7.702575079095536e-01, 3.000940587636148e-02, 9.897568908796595e+04, -8.280677142272224e-01, 2.585748034312890e-01
