"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.81909021e+00, 2.17975078e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49997753e+00, 2.17975078e+00, 1.81909021e+00, 0.00000000e+00, 8.34540458e-01, 0.00000000e+00, 0.00000000e+00, -1.81146340e+00, 2.14247575e-02, -1.13061618e+01, 3.65365346e+00, 0.00000000e+00, 14.0000000000, 10.0000000000, 0.0022274084
           1, 2.03359687e+00, 2.43597068e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.67754584e+00, 2.43597068e+00, 2.03359687e+00, 0.00000000e+00, 8.34819928e-01, 0.00000000e+00, 0.00000000e+00, -2.19940587e+00, 1.41971998e-01, 1.52147938e-01, 3.26385018e+00, 0.00000000e+00, 8.0000000000, 2.0020000000, 0.0038382445
           2, 2.16938969e+00, 2.58581547e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.78939192e+00, 2.58581547e+00, 2.16938969e+00, 0.00000000e+00, 8.38957658e-01, 0.00000000e+00, 0.00000000e+00, -2.23169223e+00, 1.74875890e-01, 1.92270907e-01, 3.23184831e+00, 0.00000000e+00, 9.0000000000, 3.1292143371, 0.0055444422
           3, 2.19882931e+00, 2.60132232e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.81358489e+00, 2.60132232e+00, 2.19882931e+00, 0.00000000e+00, 8.45273690e-01, 0.00000000e+00, 0.00000000e+00, -2.24693742e+00, 1.86415305e-01, 2.07650508e-01, 3.21677021e+00, 0.00000000e+00, 9.0000000000, 3.2477193274, 0.0072592930
           4, 2.17783490e+00, 2.55289127e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.79662897e+00, 2.55289127e+00, 2.17783490e+00, 0.00000000e+00, 8.53085646e-01, 0.00000000e+00, 0.00000000e+00, -2.24983307e+00, 1.87916039e-01, 2.11170636e-01, 3.21396914e+00, 0.00000000e+00, 9.0000000000, 3.3052254440, 0.0089649115
           5, 2.14019476e+00, 2.48363530e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76642955e+00, 2.48363530e+00, 2.14019476e+00, 0.00000000e+00, 8.61718610e-01, 0.00000000e+00, 0.00000000e+00, -2.25031640e+00, 1.90620436e-01, 2.15488921e-01, 3.21366913e+00, 0.00000000e+00, 9.0000000000, 3.3162625662, 0.0106705472
           6, 2.10202301e+00, 2.41442896e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.73618251e+00, 2.41442896e+00, 2.10202301e+00, 0.00000000e+00, 8.70608766e-01, 0.00000000e+00, 0.00000000e+00, -2.24951971e+00, 1.97446440e-01, 2.23457743e-01, 3.21472556e+00, 0.00000000e+00, 9.0000000000, 3.3181084238, 0.0123786842
           7, 2.06913724e+00, 2.35324301e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.71057948e+00, 2.35324301e+00, 2.06913724e+00, 0.00000000e+00, 8.79270534e-01, 0.00000000e+00, 0.00000000e+00, -2.24737742e+00, 2.07842309e-01, 2.34301666e-01, 3.21716002e+00, 0.00000000e+00, 9.0000000000, 3.3089907423, 0.0140839867
           8, 2.04223900e+00, 2.30154639e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.69013040e+00, 2.30154639e+00, 2.04223900e+00, 0.00000000e+00, 8.87333405e-01, 0.00000000e+00, 0.00000000e+00, -2.24423084e+00, 2.20620818e-01, 2.46783673e-01, 3.22060348e+00, 0.00000000e+00, 9.0000000000, 3.2845971746, 0.0157887575
           9, 2.01995903e+00, 2.25802575e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.67367857e+00, 2.25802575e+00, 2.01995903e+00, 0.00000000e+00, 8.94568642e-01, 0.00000000e+00, 0.00000000e+00, -2.24069137e+00, 2.34807399e-01, 2.60011346e-01, 3.22442817e+00, 0.00000000e+00, 9.0000000000, 3.2490937633, 0.0174988729
          10, 2.00048757e+00, 2.22061107e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.65973261e+00, 2.22061107e+00, 2.00048757e+00, 0.00000000e+00, 9.00872555e-01, 0.00000000e+00, 0.00000000e+00, -2.23734037e+00, 2.49718208e-01, 2.73414591e-01, 3.22804244e+00, 0.00000000e+00, 9.0000000000, 3.2096157299, 0.0192020474
          11, 1.98227497e+00, 2.18737709e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.64702589e+00, 2.18737709e+00, 1.98227497e+00, 0.00000000e+00, 9.06233764e-01, 0.00000000e+00, 0.00000000e+00, -2.23459457e+00, 2.64853929e-01, 2.86603178e-01, 3.23102239e+00, 0.00000000e+00, 9.0000000000, 3.1726819641, 0.0209070383
          12, 1.96421721e+00, 2.15682173e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.63465638e+00, 2.15682173e+00, 1.96421721e+00, 0.00000000e+00, 9.10699844e-01, 0.00000000e+00, 0.00000000e+00, -2.23269261e+00, 2.79833429e-01, 2.99281995e-01, 3.23312395e+00, 0.00000000e+00, 9.0000000000, 3.1427355635, 0.0226126242
          13, 1.94562088e+00, 2.12786649e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.62205054e+00, 2.12786649e+00, 1.94562088e+00, 0.00000000e+00, 9.14352893e-01, 0.00000000e+00, 0.00000000e+00, -2.23172870e+00, 2.94352388e-01, 3.11215066e-01, 3.23424776e+00, 0.00000000e+00, 9.0000000000, 3.1221580984, 0.0243202613
          14, 1.92610304e+00, 2.09976601e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60887809e+00, 2.09976601e+00, 1.92610304e+00, 0.00000000e+00, 9.17294130e-01, 0.00000000e+00, 0.00000000e+00, -2.23168735e+00, 3.08165604e-01, 3.22215567e-01, 3.23440363e+00, 0.00000000e+00, 9.0000000000, 3.1117810843, 0.0260291493
          15, 1.90549157e+00, 2.07200912e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.59496996e+00, 2.07200912e+00, 1.90549157e+00, 0.00000000e+00, 9.19634742e-01, 0.00000000e+00, 0.00000000e+00, -2.23246821e+00, 3.21088301e-01, 3.32137141e-01, 3.23368530e+00, 0.00000000e+00, 9.0000000000, 3.1113366587, 0.0277318071
          16, 1.88378756e+00, 2.04428949e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.58028303e+00, 2.04428949e+00, 1.88378756e+00, 0.00000000e+00, 9.21487674e-01, 0.00000000e+00, 0.00000000e+00, -2.23390838e+00, 3.32989235e-01, 3.40871603e-01, 3.23224833e+00, 0.00000000e+00, 9.0000000000, 3.1141350051, 0.0294395225
          17, 1.86106888e+00, 2.01639545e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.56482955e+00, 2.01639545e+00, 1.86106888e+00, 0.00000000e+00, 9.22968199e-01, 0.00000000e+00, 0.00000000e+00, -2.23579080e+00, 3.43767513e-01, 3.48344781e-01, 3.23030249e+00, 0.00000000e+00, 9.0000000000, 3.1193026925, 0.0311447332
          18, 1.83744606e+00, 1.98817137e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54864456e+00, 1.98817137e+00, 1.83744606e+00, 0.00000000e+00, 9.24188974e-01, 0.00000000e+00, 0.00000000e+00, -2.23788147e+00, 3.53376369e-01, 3.54532512e-01, 3.22807617e+00, 0.00000000e+00, 9.0000000000, 3.1260702340, 0.0328514326
          19, 1.81303490e+00, 1.95949599e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.53176664e+00, 1.95949599e+00, 1.81303490e+00, 0.00000000e+00, 9.25255736e-01, 0.00000000e+00, 0.00000000e+00, -2.23996149e+00, 3.61817005e-01, 3.59459822e-01, 3.22578532e+00, 0.00000000e+00, 9.0000000000, 3.1336036729, 0.0345588457
          20, 1.78794006e+00, 1.93027054e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51422714e+00, 1.93027054e+00, 1.78794006e+00, 0.00000000e+00, 9.26263975e-01, 0.00000000e+00, 0.00000000e+00, -2.24185766e+00, 3.69118795e-01, 3.63200671e-01, 3.22360300e+00, 0.00000000e+00, 9.0000000000, 3.1411167350, 0.0362665021
          21, 1.76224722e+00, 1.90041302e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.49604566e+00, 1.90041302e+00, 1.76224722e+00, 0.00000000e+00, 9.27296965e-01, 0.00000000e+00, 0.00000000e+00, -2.24346601e+00, 3.75338952e-01, 3.65869449e-01, 3.22163642e+00, 0.00000000e+00, 9.0000000000, 3.1479814132, 0.0379709027
          22, 1.73602119e+00, 1.86985565e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.47722975e+00, 1.86985565e+00, 1.73602119e+00, 0.00000000e+00, 9.28425246e-01, 0.00000000e+00, 0.00000000e+00, -2.24476492e+00, 3.80555938e-01, 3.67608859e-01, 3.21991314e+00, 0.00000000e+00, 9.0000000000, 3.1538158947, 0.0396727245
          23, 1.70930745e+00, 1.83854342e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.45777678e+00, 1.83854342e+00, 1.70930745e+00, 0.00000000e+00, 9.29707418e-01, 0.00000000e+00, 0.00000000e+00, -2.24581361e+00, 3.84857180e-01, 3.68578238e-01, 3.21838080e+00, 0.00000000e+00, 9.0000000000, 3.1585356921, 0.0413796543
          24, 1.68213649e+00, 1.80643291e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.43767738e+00, 1.80643291e+00, 1.68213649e+00, 0.00000000e+00, 9.31192345e-01, 0.00000000e+00, 0.00000000e+00, -2.24673594e+00, 3.88338454e-01, 3.68934024e-01, 3.21692234e+00, 0.00000000e+00, 9.0000000000, 3.1623514488, 0.0430843607
          25, 1.65452925e+00, 1.77349147e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.41691945e+00, 1.77349147e+00, 1.65452925e+00, 0.00000000e+00, 9.32922022e-01, 0.00000000e+00, 0.00000000e+00, -2.24769422e+00, 3.91092949e-01, 3.68814887e-01, 3.21538056e+00, 0.00000000e+00, 9.0000000000, 3.1657112562, 0.0447898925
          26, 1.62650291e+00, 1.73969660e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.39549209e+00, 1.73969660e+00, 1.62650291e+00, 0.00000000e+00, 9.34934810e-01, 0.00000000e+00, 0.00000000e+00, -2.24885766e+00, 3.93205798e-01, 3.68328161e-01, 3.21358911e+00, 0.00000000e+00, 9.0000000000, 3.1692057777, 0.0465014304
