"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.561220754342072e+04, -2.013602783327792e+00, 2.039432590091732e-01
2, 8.250000000000000e-01, 2.410000000000000e-02, 9.788068408883915e+04, -1.214026968087432e+00, 1.864367146187092e-01
689, 8.225415635108477e-01, 2.436799320451974e-02, 1.022134116235897e+05, 3.131407506219961e-01, 1.724781158800933e-01
9, 8.225136226387016e-01, 2.515232043339546e-02, 9.876382907852349e+04, -9.027425615863078e-01, 2.382283794996262e-01
10, 8.200260471543273e-01, 2.539252192140721e-02, 9.863931111658417e+04, -9.466317307870116e-01, 2.415387088185126e-01
11, 8.175377580736038e-01, 2.562525225330303e-02, 9.864787653298953e+04, -9.436126562371699e-01, 2.428825856341736e-01
12, 8.150494056560841e-01, 2.585730326097809e-02, 9.863972151210088e+04, -9.464870776141561e-01, 2.432688845952919e-01
13, 8.125612684508878e-01, 2.609164615763166e-02, 9.861984679851099e+04, -9.534923694931482e-01, 2.433953236301384e-01
14, 8.100736416201473e-01, 2.633134667253036e-02, 9.858656687588549e+04, -9.652226301908681e-01, 2.435646834947700e-01
15, 8.075861413707953e-01, 2.657236021035633e-02, 9.856752806488988e+04, -9.719332893130742e-01, 2.438124437016299e-01
16, 8.050983005777557e-01, 2.680982890594723e-02, 9.857010647060565e+04, -9.710244719588137e-01, 2.439961916128366e-01
17, 8.026097807389289e-01, 2.704006176252642e-02, 9.860570391551942e+04, -9.584773481655839e-01, 2.439122810705245e-01
18, 8.001202193910897e-01, 2.725872822046140e-02, 9.867391770352340e+04, -9.344338572755974e-01, 2.434102259208715e-01
19, 7.976299103154193e-01, 2.746873691549538e-02, 9.873202590479924e+04, -9.139523087662599e-01, 2.425309343878340e-01
20, 7.951395052898186e-01, 2.767760814443504e-02, 9.876573497438451e+04, -9.020707855258849e-01, 2.414404052121850e-01
