"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9, 8.225136222757390e-01, 2.515232046956038e-02, 9.725635094887116e+04, -1.434087290236101e+00, 3.031209685162882e-01
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.181065469543876e+04, -3.353545981657764e+00, 2.877414930795976e-01
10, 8.200260467832016e-01, 2.539252195641499e-02, 9.713832052795347e+04, -1.475689779016082e+00, 2.998256265378200e-01
11, 8.175377577632659e-01, 2.562525228220698e-02, 9.720870227614489e+04, -1.450882141572419e+00, 2.976789991161580e-01
12, 8.150494053997525e-01, 2.585730328495838e-02, 9.729792127542992e+04, -1.419434889348306e+00, 2.952832471599608e-01
13, 8.125612681562145e-01, 2.609164618569462e-02, 9.734755902818494e+04, -1.401938941812082e+00, 2.931385790153821e-01
14, 8.100736413384225e-01, 2.633134669986020e-02, 9.736924521242827e+04, -1.394295156170642e+00, 2.915429493479094e-01
15, 8.075861411031177e-01, 2.657236023617366e-02, 9.740837387617609e+04, -1.380503374510560e+00, 2.902672712047911e-01
16, 8.050983003244567e-01, 2.680982892981015e-02, 9.747316489342347e+04, -1.357666316512119e+00, 2.889477329206871e-01
17, 8.026097805013100e-01, 2.704006178405967e-02, 9.756029107154252e+04, -1.326956726395783e+00, 2.874636466382131e-01
18, 8.001202191369430e-01, 2.725872824219831e-02, 9.768686439381429e+04, -1.282343099004514e+00, 2.856005468660983e-01
19, 7.976299100419458e-01, 2.746873693836867e-02, 9.779114082168080e+04, -1.245588515850409e+00, 2.836493602728649e-01
20, 7.951395049987100e-01, 2.767760816903780e-02, 9.786039918488405e+04, -1.221176840828997e+00, 2.817180510431753e-01
21, 7.926495253296556e-01, 2.789147910700565e-02, 9.791008267667325e+04, -1.203664771536693e+00, 2.799625252263960e-01
22, 7.901604084457454e-01, 2.811515432949274e-02, 9.790520116609918e+04, -1.205385370237501e+00, 2.785261029054485e-01
23, 7.876726360893644e-01, 2.835329772722824e-02, 9.786225690311502e+04, -1.220522046062874e+00, 2.776790988365632e-01
24, 7.851860137311606e-01, 2.860319472403092e-02, 9.780979318158882e+04, -1.239014070145989e+00, 2.773788627890549e-01
25, 7.826997616695721e-01, 2.885675985942484e-02, 9.778339178765341e+04, -1.248319837984770e+00, 2.773284023831407e-01
26, 7.802131787672552e-01, 2.910705016018034e-02, 9.778850948684462e+04, -1.246515989269107e+00, 2.773200167622688e-01
27, 7.777257582416482e-01, 2.934886607270285e-02, 9.782739829929717e+04, -1.232808748617542e+00, 2.770110878251352e-01
28, 7.752372116913747e-01, 2.957879026536043e-02, 9.788482525894583e+04, -1.212567319112535e+00, 2.763869518991356e-01
29, 7.727476516611527e-01, 2.979747058592683e-02, 9.794827328233236e+04, -1.190203629645638e+00, 2.756197315742753e-01
30, 7.702575074798030e-01, 3.000940591246718e-02, 9.799913288870607e+04, -1.172277012193414e+00, 2.746884583060800e-01
31, 7.677669502670271e-01, 3.021649311372681e-02, 9.805138869859464e+04, -1.153858271264797e+00, 2.736960562216789e-01
32, 7.652761283772814e-01, 3.042026514252212e-02, 9.809473818029449e+04, -1.138578766947063e+00, 2.725637364606298e-01
33, 7.627851331352427e-01, 3.062199303148362e-02, 9.812784537230803e+04, -1.126909389056420e+00, 2.715544335800070e-01
34, 7.602940580201185e-01, 3.082273685573188e-02, 9.816703259395514e+04, -1.113096967341602e+00, 2.706619149399535e-01
35, 7.578029756251976e-01, 3.102338959923085e-02, 9.819689856726256e+04, -1.102570030220099e+00, 2.698036156364735e-01
36, 7.553119487696932e-01, 3.122470829445093e-02, 9.822014079900827e+04, -1.094377780477154e+00, 2.690631192117536e-01
37, 7.528212258843371e-01, 3.142976405537950e-02, 9.821195749276810e+04, -1.097262171665400e+00, 2.684785424835563e-01
38, 7.503310574905883e-01, 3.164143081983112e-02, 9.818581356614659e+04, -1.106477189331855e+00, 2.681423308323286e-01
39, 7.478411455017506e-01, 3.185609753594928e-02, 9.816833094001976e+04, -1.112639335934665e+00, 2.680032011900899e-01
40, 7.453510864781877e-01, 3.206904888102160e-02, 9.817191037647414e+04, -1.111377682678036e+00, 2.679410913040581e-01
41, 7.428605822980964e-01, 3.227672421441647e-02, 9.819382306014559e+04, -1.103654062195345e+00, 2.677920065291892e-01
42, 7.403695243637490e-01, 3.247764954030886e-02, 9.821803212095732e+04, -1.095121031702331e+00, 2.674828211339291e-01
43, 7.378779335327420e-01, 3.267185688896018e-02, 9.824991988335668e+04, -1.083881469332531e+00, 2.670445015211899e-01
44, 7.353858806094327e-01, 3.286003900423798e-02, 9.827689868593722e+04, -1.074372180770074e+00, 2.664929547514552e-01
45, 7.328934417843262e-01, 3.304304175318287e-02, 9.830949853991739e+04, -1.062881625632727e+00, 2.659272293840130e-01
46, 7.304006841248106e-01, 3.322165438995912e-02, 9.834299329181550e+04, -1.051075643503756e+00, 2.652452260843989e-01
47, 7.279076713423368e-01, 3.339668138797516e-02, 9.836914880714909e+04, -1.041856541133873e+00, 2.646098311923130e-01
48, 7.254144872780066e-01, 3.356924625891737e-02, 9.839342796512201e+04, -1.033298803312533e+00, 2.639869418475079e-01
49, 7.229211845904051e-01, 3.374008690300245e-02, 9.841801638841987e+04, -1.024632057939491e+00, 2.633904647162512e-01
50, 7.204277931061138e-01, 3.390962731887970e-02, 9.844174743397802e+04, -1.016267514723479e+00, 2.627768901376031e-01
51, 7.179343317965236e-01, 3.407813748690187e-02, 9.846381708717193e+04, -1.008488566785826e+00, 2.622003846205206e-01
52, 7.154408132771123e-01, 3.424580151404083e-02, 9.848373875446786e+04, -1.001466725012208e+00, 2.616082116197803e-01
53, 7.129472470902479e-01, 3.441275116541873e-02, 9.849920336841498e+04, -9.960158723996408e-01, 2.610576357830888e-01
54, 7.104536395496054e-01, 3.457908425844201e-02, 9.851139960387065e+04, -9.917170336362294e-01, 2.605358377641127e-01
55, 7.079599959051762e-01, 3.474487528851361e-02, 9.852799213441943e+04, -9.858686213318425e-01, 2.600369849289540e-01
56, 7.054663201777180e-01, 3.491018210672266e-02, 9.853953358005288e+04, -9.818005780364160e-01, 2.595604579276659e-01
57, 7.029726153647533e-01, 3.507505020325016e-02, 9.855230180502623e+04, -9.773001286432511e-01, 2.591143212711540e-01
58, 7.004788839717855e-01, 3.523951551871667e-02, 9.856544226990057e+04, -9.726684748861281e-01, 2.586815881952303e-01
59, 6.979851279013634e-01, 3.540360635738229e-02, 9.858382080821626e+04, -9.661905437889888e-01, 2.582794607949433e-01
60, 6.954913486184072e-01, 3.556734463066365e-02, 9.859300603017145e+04, -9.629530047684415e-01, 2.578521374951832e-01
61, 6.929975474067591e-01, 3.573074660209408e-02, 9.860304456475594e+04, -9.594146964308841e-01, 2.574845097683464e-01
62, 6.905037247022527e-01, 3.589382326893958e-02, 9.861499342413740e+04, -9.552030509543551e-01, 2.571189476865227e-01
63, 6.880098812191036e-01, 3.605658019139507e-02, 9.862170722773747e+04, -9.528366191754016e-01, 2.567675149529530e-01
64, 6.855160170189902e-01, 3.621901690977741e-02, 9.862969229818301e+04, -9.500221006721604e-01, 2.564456699642625e-01
65, 6.830221312746021e-01, 3.638112548433214e-02, 9.863548455329065e+04, -9.479804894819897e-01, 2.561450271664942e-01
66, 6.805282230193599e-01, 3.654288748578317e-02, 9.864204875492302e+04, -9.456667882968467e-01, 2.558912681574185e-01
67, 6.780342900956191e-01, 3.670426803877562e-02, 9.865200457082003e+04, -9.421576360297368e-01, 2.556376938513429e-01
68, 6.755403282379356e-01, 3.686520245430477e-02, 9.865795219504298e+04, -9.400612614842703e-01, 2.553711584937590e-01
69, 6.730463556128705e-01, 3.702596763874732e-02, 9.865646753758212e+04, -9.405845625525627e-01, 2.551174521479389e-01
70, 6.705524196582827e-01, 3.718729767136215e-02, 9.865136444054927e+04, -9.423832644075758e-01, 2.549453593853049e-01
71, 6.680585013003731e-01, 3.734890295712728e-02, 9.863919882908053e+04, -9.466713090548339e-01, 2.548356505930805e-01
72, 6.655645364323376e-01, 3.750978588595889e-02, 9.862579199563150e+04, -9.513968504347744e-01, 2.548121664591979e-01
73, 6.630703700627546e-01, 3.766750690203194e-02, 9.862590874144090e+04, -9.513557007363505e-01, 2.547278107455000e-01
74, 6.605757892791952e-01, 3.781852248159972e-02, 9.866328812540761e+04, -9.381804922605459e-01, 2.546983846708814e-01
75, 6.580807498924953e-01, 3.796176496727417e-02, 9.869253865745869e+04, -9.278704813158901e-01, 2.543726025624526e-01
76, 6.555854066759443e-01, 3.809962510312168e-02, 9.871398921144263e+04, -9.203097488834963e-01, 2.539562883955785e-01
77, 6.530899078059261e-01, 3.823464540637368e-02, 9.873349916694958e+04, -9.134330242326393e-01, 2.535785741064457e-01
