"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9, 8.225136222757390e-01, 2.515232046956038e-02, 9.763279144040772e+04, -1.301402333224872e+00, 2.582088988016879e-01
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.288200601203434e+04, -2.975924002666688e+00, 2.454082289373390e-01
10, 8.200260467832016e-01, 2.539252195641499e-02, 9.748746105400077e+04, -1.352627311691244e+00, 2.551398182826903e-01
11, 8.175377577632659e-01, 2.562525228220698e-02, 9.751661913354929e+04, -1.342349887720105e+00, 2.534876795148888e-01
12, 8.150494053997525e-01, 2.585730328495838e-02, 9.757432218983890e+04, -1.322011141715519e+00, 2.515895987342736e-01
13, 8.125612681562145e-01, 2.609164618569462e-02, 9.759792577863530e+04, -1.313691523515105e+00, 2.498838225637450e-01
14, 8.100736413384225e-01, 2.633134669986020e-02, 9.760338401060824e+04, -1.311767646326095e+00, 2.486458086361727e-01
15, 8.075861411031177e-01, 2.657236023617366e-02, 9.762526851197310e+04, -1.304053959334143e+00, 2.476785356991121e-01
16, 8.050983003244567e-01, 2.680982892981015e-02, 9.766846777860138e+04, -1.288827401712531e+00, 2.466936325021819e-01
17, 8.026097805013100e-01, 2.704006178405967e-02, 9.772805881356577e+04, -1.267823194964656e+00, 2.455899538488657e-01
18, 8.001202191369430e-01, 2.725872824219831e-02, 9.781793083306533e+04, -1.236145771010775e+00, 2.441737809029153e-01
19, 7.976299100419458e-01, 2.746873693836867e-02, 9.789056961235857e+04, -1.210542591957081e+00, 2.426665275311427e-01
20, 7.951395049987100e-01, 2.767760816903780e-02, 9.793407550188708e+04, -1.195207958166056e+00, 2.411588212883970e-01
21, 7.926495253296556e-01, 2.789147910700565e-02, 9.796365401503733e+04, -1.184782342872182e+00, 2.397791053113636e-01
22, 7.901604084457454e-01, 2.811515432949274e-02, 9.795024300243414e+04, -1.189509357289435e+00, 2.386283199121523e-01
23, 7.876726360893644e-01, 2.835329772722824e-02, 9.790841153164097e+04, -1.204253804363268e+00, 2.379475410205973e-01
24, 7.851860137311606e-01, 2.860319472403092e-02, 9.786032904527335e+04, -1.221201563119612e+00, 2.377204970592474e-01
25, 7.826997616695721e-01, 2.885675985942484e-02, 9.783569359934996e+04, -1.229884882679509e+00, 2.377107668726811e-01
26, 7.802131787672552e-01, 2.910705016018034e-02, 9.783457037531401e+04, -1.230280788370515e+00, 2.377755124394384e-01
27, 7.777257582416482e-01, 2.934886607270285e-02, 9.785887768264726e+04, -1.221713128671087e+00, 2.376130291817766e-01
28, 7.752372116913747e-01, 2.957879026536043e-02, 9.789963037065871e+04, -1.207348922964046e+00, 2.371731910833157e-01
29, 7.727476516611527e-01, 2.979747058592683e-02, 9.794488055050660e+04, -1.191399474637271e+00, 2.366233510510760e-01
30, 7.702575074798030e-01, 3.000940591246718e-02, 9.797845858413706e+04, -1.179564137979960e+00, 2.359359197624194e-01
31, 7.677669502670271e-01, 3.021649311372681e-02, 9.801412020106026e+04, -1.166994395312024e+00, 2.351885477272193e-01
32, 7.652761283772814e-01, 3.042026514252212e-02, 9.804026373201054e+04, -1.157779517108829e+00, 2.343158695494929e-01
33, 7.627851331352427e-01, 3.062199303148362e-02, 9.805890959679850e+04, -1.151207360756228e+00, 2.335359084361468e-01
34, 7.602940580201185e-01, 3.082273685573188e-02, 9.808407396263292e+04, -1.142337611422609e+00, 2.328533586866617e-01
35, 7.578029756251976e-01, 3.102338959923085e-02, 9.810073597621924e+04, -1.136464708251653e+00, 2.322084771170646e-01
36, 7.553119487696932e-01, 3.122470829445093e-02, 9.811349175946726e+04, -1.131968644225703e+00, 2.316630988144548e-01
37, 7.528212258843371e-01, 3.142976405537950e-02, 9.810137066154942e+04, -1.136240999066154e+00, 2.312343994931787e-01
38, 7.503310574905883e-01, 3.164143081983112e-02, 9.807458400951450e+04, -1.145682559827114e+00, 2.310001093790391e-01
39, 7.478411455017506e-01, 3.185609753594928e-02, 9.805644641477345e+04, -1.152075564917185e+00, 2.309227126905401e-01
40, 7.453510864781877e-01, 3.206904888102160e-02, 9.805606192697177e+04, -1.152211086330488e+00, 2.309272933843890e-01
41, 7.428605822980964e-01, 3.227672421441647e-02, 9.806988399998785e+04, -1.147339184382696e+00, 2.308739034157518e-01
42, 7.403695243637490e-01, 3.247764954030886e-02, 9.808511299388538e+04, -1.141971381380500e+00, 2.306833102969927e-01
