"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9, 8.225136222757390e-01, 2.515232046956038e-02, 9.725490488733619e+04, -1.434596987298231e+00, 3.092185796395889e-01
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.171585000997331e+04, -3.386962035186174e+00, 2.934503584166509e-01
10, 8.200260467832016e-01, 2.539252195641499e-02, 9.714228370202344e+04, -1.474292868766190e+00, 3.058834178599880e-01
11, 8.175377577632659e-01, 2.562525228220698e-02, 9.722004238041671e+04, -1.446885065589261e+00, 3.036433570383498e-01
12, 8.150494053997525e-01, 2.585730328495838e-02, 9.731514912438991e+04, -1.413362544714706e+00, 3.011545422696206e-01
13, 8.125612681562145e-01, 2.609164618569462e-02, 9.736994363927483e+04, -1.394048979847439e+00, 2.989247490072034e-01
14, 8.100736413384225e-01, 2.633134669986020e-02, 9.739515349733303e+04, -1.385163195751638e+00, 2.972565117111802e-01
15, 8.075861411031177e-01, 2.657236023617366e-02, 9.743788385225451e+04, -1.370101916656265e+00, 2.959162562437965e-01
16, 8.050983003244567e-01, 2.680982892981015e-02, 9.750687516483823e+04, -1.345784369659782e+00, 2.945277278393324e-01
17, 8.026097805013100e-01, 2.704006178405967e-02, 9.759890731761053e+04, -1.313345557925159e+00, 2.929693414431691e-01
18, 8.001202191369430e-01, 2.725872824219831e-02, 9.773179478467189e+04, -1.266506367533084e+00, 2.910233078614795e-01
19, 7.976299100419458e-01, 2.746873693836867e-02, 9.784142087503448e+04, -1.227866174955242e+00, 2.889930144897865e-01
20, 7.951395049987100e-01, 2.767760816903780e-02, 9.791519478360833e+04, -1.201862893938061e+00, 2.869870893274498e-01
21, 7.926495253296556e-01, 2.789147910700565e-02, 9.796861943760974e+04, -1.183032167491544e+00, 2.851643419790574e-01
22, 7.901604084457454e-01, 2.811515432949274e-02, 9.796586851264944e+04, -1.184001793151656e+00, 2.836726321032630e-01
23, 7.876726360893644e-01, 2.835329772722824e-02, 9.792371117505920e+04, -1.198861099341158e+00, 2.827856833254073e-01
24, 7.851860137311606e-01, 2.860319472403092e-02, 9.787143297317388e+04, -1.217287732834978e+00, 2.824579905611292e-01
25, 7.826997616695721e-01, 2.885675985942484e-02, 9.784551836068976e+04, -1.226421923552303e+00, 2.823852619222779e-01
26, 7.802131787672552e-01, 2.910705016018034e-02, 9.785235315978607e+04, -1.224012844176775e+00, 2.823488617791013e-01
27, 7.777257582416482e-01, 2.934886607270285e-02, 9.789416079355184e+04, -1.209276799001854e+00, 2.820011093163026e-01
28, 7.752372116913747e-01, 2.957879026536043e-02, 9.795464281891056e+04, -1.187958542557342e+00, 2.813361640493039e-01
29, 7.727476516611527e-01, 2.979747058592683e-02, 9.802140222160428e+04, -1.164427682632167e+00, 2.805244655628851e-01
30, 7.702575074798030e-01, 3.000940591246718e-02, 9.807539166160741e+04, -1.145397884597860e+00, 2.795448980017525e-01
31, 7.677669502670271e-01, 3.021649311372681e-02, 9.813076258897092e+04, -1.125881150128330e+00, 2.785042715532582e-01
32, 7.652761283772814e-01, 3.042026514252212e-02, 9.817730421421169e+04, -1.109476502692295e+00, 2.773203118843767e-01
33, 7.627851331352427e-01, 3.062199303148362e-02, 9.821308903108630e+04, -1.096863335417749e+00, 2.762651837181908e-01
34, 7.602940580201185e-01, 3.082273685573188e-02, 9.825495290692254e+04, -1.082107466454288e+00, 2.753304640678111e-01
35, 7.578029756251976e-01, 3.102338959923085e-02, 9.828729485631060e+04, -1.070707815617848e+00, 2.744294950266841e-01
