"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 3.76973500e-02, 2.02986172e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.23741464e-01, 2.01535370e+00, -2.45171668e-01, 0.00000000e+00, 1.85713882e-02, -8.00000000e+00, 0.00000000e+00, -1.63129624e+00, 1.97344685e-01, -6.54852786e-01, 3.83382061e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0029752000
           1, 5.19990189e-02, 2.67683811e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.08931923e+00, 2.65802417e+00, -3.21050893e-01, 0.00000000e+00, 1.94255374e-02, -8.00000000e+00, 0.00000000e+00, -1.86885107e+00, 3.30522540e-01, 2.81240954e-01, 3.59472831e+00, 0.00000000e+00, 8.0000000000, 2.0020000000, 0.0058389000
           2, 6.21110986e-02, 3.10104050e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.26919489e+00, 3.07950558e+00, -3.70074785e-01, 0.00000000e+00, 2.00291156e-02, -8.00000000e+00, 0.00000000e+00, -1.95104916e+00, 4.01290718e-01, 3.76899456e-01, 3.51282754e+00, 0.00000000e+00, 8.0000000000, 2.6317309526, 0.0087867500
           3, 6.56547783e-02, 3.26405286e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.34561052e+00, 3.24142470e+00, -3.89252528e-01, 0.00000000e+00, 2.01144960e-02, -8.00000000e+00, 0.00000000e+00, -2.00366778e+00, 4.22571796e-01, 4.06725602e-01, 3.46070434e+00, 0.00000000e+00, 8.0000000000, 2.8929473662, 0.0139650667
           4, 6.53719562e-02, 3.26199688e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.35650823e+00, 3.23934937e+00, -3.89246460e-01, 0.00000000e+00, 2.00404717e-02, -8.00000000e+00, 0.00000000e+00, -2.02705729e+00, 4.13889440e-01, 4.00630393e-01, 3.43755082e+00, 0.00000000e+00, 9.0000000000, 3.0736176522, 0.0175494167
           5, 6.31960928e-02, 3.18255113e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.33596538e+00, 3.16037396e+00, -3.80344438e-01, 0.00000000e+00, 1.98570550e-02, -8.00000000e+00, 0.00000000e+00, -2.04107586e+00, 3.96812072e-01, 3.84165465e-01, 3.42363804e+00, 0.00000000e+00, 9.0000000000, 3.1575090145, 0.0210469333
           6, 5.93411899e-02, 3.08127667e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.30522723e+00, 3.05954860e+00, -3.70067144e-01, 0.00000000e+00, 1.92586373e-02, -8.00000000e+00, 0.00000000e+00, -2.05252421e+00, 3.83618258e-01, 3.71315733e-01, 3.41232777e+00, 0.00000000e+00, 9.0000000000, 3.2088829969, 0.0245245000
           7, 5.31560054e-02, 2.98501405e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.27431321e+00, 2.96336199e+00, -3.62794967e-01, 0.00000000e+00, 1.78076232e-02, -8.00000000e+00, 0.00000000e+00, -2.06194980e+00, 3.77479937e-01, 3.66017093e-01, 3.40310996e+00, 0.00000000e+00, 9.0000000000, 3.2514573018, 0.0274945333
           8, 4.39965537e-02, 2.90320136e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.24668176e+00, 2.88107074e+00, -3.60479153e-01, 0.00000000e+00, 1.51544961e-02, -8.00000000e+00, 0.00000000e+00, -2.06912458e+00, 3.77201147e-01, 3.67135086e-01, 3.39618791e+00, 0.00000000e+00, 9.0000000000, 3.2869330009, 0.0304962500
           9, 3.16270879e-02, 2.83634981e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.22260798e+00, 2.81314829e+00, -3.63424303e-01, 0.00000000e+00, 1.11506302e-02, -8.00000000e+00, 0.00000000e+00, -2.07434016e+00, 3.80806103e-01, 3.72508137e-01, 3.39123871e+00, 0.00000000e+00, 9.0000000000, 3.3141963949, 0.0336131500
          10, 1.62539482e-02, 2.78131656e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.20117208e+00, 2.75651109e+00, -3.70988684e-01, 0.00000000e+00, 5.84397637e-03, -8.00000000e+00, 0.00000000e+00, -2.07822007e+00, 3.86822611e-01, 3.80516971e-01, 3.38762509e+00, 0.00000000e+00, 9.0000000000, 3.3341569002, 0.0368459000
          11, -1.63546982e-03, 2.73421059e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.18126958e+00, 2.70737382e+00, -3.82148119e-01, 0.00000000e+00, -5.98150643e-04, -8.00000000e+00, 0.00000000e+00, -2.08140275e+00, 3.94315484e-01, 3.90176351e-01, 3.38470582e+00, 0.00000000e+00, 9.0000000000, 3.3490835958, 0.0399039500
          12, -2.14752566e-02, 2.69167206e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.16199860e+00, 2.66248812e+00, -3.95874609e-01, 0.00000000e+00, -7.97840750e-03, -8.00000000e+00, 0.00000000e+00, -2.08436585e+00, 4.02677313e-01, 4.00838971e-01, 3.38199836e+00, 0.00000000e+00, 9.0000000000, 3.3613777865, 0.0430540000
