"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 1.58541405e+00, 2.25755294e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.30842331e+00, 2.25755294e+00, 1.58541405e+00, 0.00000000e+00, 7.02271040e-01, 0.00000000e+00, 0.00000000e+00, -1.59793316e+00, 2.34954997e-01, -1.12860532e+01, 3.86718370e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0021411000
           1, 2.09663256e+00, 2.98023638e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.72997004e+00, 2.98023638e+00, 2.09663256e+00, 0.00000000e+00, 7.03512170e-01, 0.00000000e+00, 0.00000000e+00, -1.83422235e+00, 3.71137256e-01, 3.03048711e-01, 3.62941537e+00, 0.00000000e+00, 8.0000000000, 2.0020000000, 0.0045219667
           2, 2.44153161e+00, 3.45673504e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.01321324e+00, 3.45673504e+00, 2.44153161e+00, 0.00000000e+00, 7.06311471e-01, 0.00000000e+00, 0.00000000e+00, -1.91592019e+00, 4.43634560e-01, 3.99226404e-01, 3.54805333e+00, 0.00000000e+00, 8.0000000000, 2.6278990154, 0.0070193667
           3, 2.58607768e+00, 3.64235067e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.13071198e+00, 3.64235067e+00, 2.58607768e+00, 0.00000000e+00, 7.10002391e-01, 0.00000000e+00, 0.00000000e+00, -1.96799097e+00, 4.66025924e-01, 4.29473343e-01, 3.49657540e+00, 0.00000000e+00, 8.0000000000, 2.8870718289, 0.0093156333
           4, 2.60377501e+00, 3.64386825e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.14341386e+00, 3.64386825e+00, 2.60377501e+00, 0.00000000e+00, 7.14563435e-01, 0.00000000e+00, 0.00000000e+00, -1.99104172e+00, 4.58142576e-01, 4.23992874e-01, 3.47387691e+00, 0.00000000e+00, 9.0000000000, 3.0654411194, 0.0120813333
           5, 2.56135481e+00, 3.55906009e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.10666841e+00, 3.55906009e+00, 2.56135481e+00, 0.00000000e+00, 7.19671696e-01, 0.00000000e+00, 0.00000000e+00, -2.00493582e+00, 4.41737648e-01, 4.08449031e-01, 3.46017121e+00, 0.00000000e+00, 9.0000000000, 3.1478813456, 0.0160602500
           6, 2.50064673e+00, 3.44965942e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.05518082e+00, 3.44965942e+00, 2.50064673e+00, 0.00000000e+00, 7.24896698e-01, 0.00000000e+00, 0.00000000e+00, -2.01631409e+00, 4.29134802e-01, 3.96634546e-01, 3.44899867e+00, 0.00000000e+00, 9.0000000000, 3.1986403197, 0.0194520833
           7, 2.44156391e+00, 3.34526388e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.00546547e+00, 3.34526388e+00, 2.44156391e+00, 0.00000000e+00, 7.29856895e-01, 0.00000000e+00, 0.00000000e+00, -2.02562239e+00, 4.23552039e-01, 3.92260121e-01, 3.43996518e+00, 0.00000000e+00, 9.0000000000, 3.2408172319, 0.0226350833
           8, 2.39105370e+00, 3.25618107e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.96323392e+00, 3.25618107e+00, 2.39105370e+00, 0.00000000e+00, 7.34312265e-01, 0.00000000e+00, 0.00000000e+00, -2.03264351e+00, 4.23803576e-01, 3.94171292e-01, 3.43326433e+00, 0.00000000e+00, 9.0000000000, 3.2757344569, 0.0256556667
           9, 2.34962655e+00, 3.18291678e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.92880686e+00, 3.18291678e+00, 2.34962655e+00, 0.00000000e+00, 7.38199178e-01, 0.00000000e+00, 0.00000000e+00, -2.03771497e+00, 4.27931875e-01, 4.00308713e-01, 3.42852709e+00, 0.00000000e+00, 9.0000000000, 3.3023207098, 0.0288870833
          10, 2.31527967e+00, 3.12202624e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.90039233e+00, 3.12202624e+00, 2.31527967e+00, 0.00000000e+00, 7.41595198e-01, 0.00000000e+00, 0.00000000e+00, -2.04148745e+00, 4.34479377e-01, 4.09133026e-01, 3.42508874e+00, 0.00000000e+00, 9.0000000000, 3.3216585056, 0.0321870333
          11, 2.28555598e+00, 3.06930579e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.87582606e+00, 3.06930579e+00, 2.28555598e+00, 0.00000000e+00, 7.44649162e-01, 0.00000000e+00, 0.00000000e+00, -2.04460525e+00, 4.42499549e-01, 4.19676885e-01, 3.42230251e+00, 0.00000000e+00, 9.0000000000, 3.3361165796, 0.0355764333
          12, 2.25839015e+00, 3.02116449e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.85329367e+00, 3.02116449e+00, 2.25839015e+00, 0.00000000e+00, 7.47523067e-01, 0.00000000e+00, 0.00000000e+00, -2.04754654e+00, 4.51393652e-01, 4.31266274e-01, 3.41968693e+00, 0.00000000e+00, 9.0000000000, 3.3481130826, 0.0389587833
          13, 2.23230835e+00, 2.97499830e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.83150552e+00, 2.97499830e+00, 2.23230835e+00, 0.00000000e+00, 7.50356176e-01, 0.00000000e+00, 0.00000000e+00, -2.05058012e+00, 4.60735207e-01, 4.43334305e-01, 3.41696056e+00, 0.00000000e+00, 9.0000000000, 3.3594699841, 0.0423361500
          14, 2.20635612e+00, 2.92911298e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.80963625e+00, 2.92911298e+00, 2.20635612e+00, 0.00000000e+00, 7.53250605e-01, 0.00000000e+00, 0.00000000e+00, -2.05378241e+00, 4.70195650e-01, 4.55361777e-01, 3.41402646e+00, 0.00000000e+00, 9.0000000000, 3.3712235745, 0.0456436333
          15, 2.17995340e+00, 2.88249974e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.78719698e+00, 2.88249974e+00, 2.17995340e+00, 0.00000000e+00, 7.56271846e-01, 0.00000000e+00, 0.00000000e+00, -2.05706418e+00, 4.79529149e-01, 4.66886362e-01, 3.41094854e+00, 0.00000000e+00, 9.0000000000, 3.3836754623, 0.0488918333
          16, 2.15276330e+00, 2.83460907e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.76391700e+00, 2.83460907e+00, 2.15276330e+00, 0.00000000e+00, 7.59456860e-01, 0.00000000e+00, 0.00000000e+00, -2.06022363e+00, 4.88555049e-01, 4.77524698e-01, 3.40790244e+00, 0.00000000e+00, 9.0000000000, 3.3964841143, 0.0521646167
          17, 2.12459990e+00, 2.78517389e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.73965829e+00, 2.78517389e+00, 2.12459990e+00, 0.00000000e+00, 7.62824867e-01, 0.00000000e+00, 0.00000000e+00, -2.06301189e+00, 4.97146358e-01, 4.86984913e-01, 3.40511438e+00, 0.00000000e+00, 10.0000000000, 3.4088611379, 0.0556848333
          18, 2.09537102e+00, 2.73408995e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.71436114e+00, 2.73408995e+00, 2.09537102e+00, 0.00000000e+00, 7.66387009e-01, 0.00000000e+00, 0.00000000e+00, -2.06519684e+00, 5.05202486e-01, 4.95077624e-01, 3.40280108e+00, 0.00000000e+00, 10.0000000000, 3.4198215058, 0.0591995500
          19, 2.06504535e+00, 2.68134172e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.68801292e+00, 2.68134172e+00, 2.06504535e+00, 0.00000000e+00, 7.70153740e-01, 0.00000000e+00, 0.00000000e+00, -2.06660892e+00, 5.12640892e-01, 5.01719408e-01, 3.40112743e+00, 0.00000000e+00, 10.0000000000, 3.4284349473, 0.0627530167
          20, 2.03363491e+00, 2.62696064e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.66063168e+00, 2.62696064e+00, 2.03363491e+00, 0.00000000e+00, 7.74139850e-01, 0.00000000e+00, 0.00000000e+00, -2.06717144e+00, 5.19396825e-01, 5.06927557e-01, 3.40017749e+00, 0.00000000e+00, 10.0000000000, 3.4340131445, 0.0664640333
          21, 2.00118464e+00, 2.57100312e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.63225776e+00, 2.57100312e+00, 2.00118464e+00, 0.00000000e+00, 7.78367256e-01, 0.00000000e+00, 0.00000000e+00, -2.06691183e+00, 5.25425510e-01, 5.10803356e-01, 3.39994128e+00, 0.00000000e+00, 10.0000000000, 3.4362378373, 0.0697238167
          22, 1.96778521e+00, 2.51357478e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.60296668e+00, 2.51357478e+00, 1.96778521e+00, 0.00000000e+00, 7.82863205e-01, 0.00000000e+00, 0.00000000e+00, -2.06595390e+00, 5.30699267e-01, 5.13510565e-01, 3.40031910e+00, 0.00000000e+00, 10.0000000000, 3.4331580966, 0.0728020000
          23, 1.93358324e+00, 2.45485402e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.57288049e+00, 2.45485402e+00, 1.93358324e+00, 0.00000000e+00, 7.87657118e-01, 0.00000000e+00, 0.00000000e+00, -2.06449665e+00, 5.35216218e-01, 5.15249797e-01, 3.40113879e+00, 0.00000000e+00, 10.0000000000, 3.4218179735, 0.0760122667
          24, 1.89872569e+00, 2.39500424e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.54212085e+00, 2.39500424e+00, 1.89872569e+00, 0.00000000e+00, 7.92785942e-01, 0.00000000e+00, 0.00000000e+00, -2.06278772e+00, 5.39003507e-01, 5.16236801e-01, 3.40217847e+00, 0.00000000e+00, 10.0000000000, 3.4046386296, 0.0790319333
          25, 1.86334619e+00, 2.33416016e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.51079814e+00, 2.33416016e+00, 1.86334619e+00, 0.00000000e+00, 7.98294061e-01, 0.00000000e+00, 0.00000000e+00, -2.06109415e+00, 5.42122568e-01, 5.16676542e-01, 3.40319201e+00, 0.00000000e+00, 10.0000000000, 3.3846022186, 0.0825202167
