"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
9, 8.225136222757390e-01, 2.515232046956038e-02, 9.787617731391660e+04, -1.215615482740615e+00, 2.327243285821994e-01
0, 8.250000000000000e-01, 2.490000000000000e-02, 9.351442267824041e+04, -2.753014459046064e+00, 2.216990130733265e-01
10, 8.200260467832016e-01, 2.539252195641499e-02, 9.772662065607937e+04, -1.268330106066277e+00, 2.295840388579482e-01
11, 8.175377577632659e-01, 2.562525228220698e-02, 9.773866656277125e+04, -1.264084254072381e+00, 2.280476198125689e-01
12, 8.150494053997525e-01, 2.585730328495838e-02, 9.778416779195415e+04, -1.248046317734957e+00, 2.263165140334151e-01
13, 8.125612681562145e-01, 2.609164618569462e-02, 9.779791744371106e+04, -1.243199942296337e+00, 2.247669600363018e-01
14, 8.100736413384225e-01, 2.633134669986020e-02, 9.779793766562491e+04, -1.243192814625883e+00, 2.236568469093455e-01
15, 8.075861411031177e-01, 2.657236023617366e-02, 9.781360017695682e+04, -1.237672208608500e+00, 2.227981879587357e-01
16, 8.050983003244567e-01, 2.680982892981015e-02, 9.784792893719759e+04, -1.225572261394527e+00, 2.219379597147427e-01
17, 8.026097805013100e-01, 2.704006178405967e-02, 9.789516635705535e+04, -1.208922365424078e+00, 2.209892626008612e-01
18, 8.001202191369430e-01, 2.725872824219831e-02, 9.796800223913429e+04, -1.183249713039973e+00, 2.197680512706946e-01
19, 7.976299100419458e-01, 2.746873693836867e-02, 9.802589932188753e+04, -1.162842578024206e+00, 2.184644418102801e-01
20, 7.951395049987100e-01, 2.767760816903780e-02, 9.805790737502323e+04, -1.151560616466380e+00, 2.171551493492702e-01
21, 7.926495253296556e-01, 2.789147910700565e-02, 9.807899662456379e+04, -1.144127233948824e+00, 2.159515027910680e-01
22, 7.901604084457454e-01, 2.811515432949274e-02, 9.806325821544458e+04, -1.149674591856268e+00, 2.149288562270156e-01
23, 7.876726360893644e-01, 2.835329772722824e-02, 9.802423696416737e+04, -1.163428513564072e+00, 2.143086568242061e-01
24, 7.851860137311606e-01, 2.860319472403092e-02, 9.798023279196353e+04, -1.178938778342841e+00, 2.140886480406727e-01
25, 7.826997616695721e-01, 2.885675985942484e-02, 9.795799367559067e+04, -1.186777457406977e+00, 2.140674774111215e-01
26, 7.802131787672552e-01, 2.910705016018034e-02, 9.795518601021820e+04, -1.187767082507421e+00, 2.141337056329625e-01
27, 7.777257582416482e-01, 2.934886607270285e-02, 9.797338399580603e+04, -1.181352791298852e+00, 2.140111705069612e-01
28, 7.752372116913747e-01, 2.957879026536043e-02, 9.800657384227024e+04, -1.169654279979472e+00, 2.136404243709539e-01
29, 7.727476516611527e-01, 2.979747058592683e-02, 9.804362806524587e+04, -1.156593681842069e+00, 2.131793174077445e-01
30, 7.702575074798030e-01, 3.000940591246718e-02, 9.806946761402875e+04, -1.147485949022330e+00, 2.125959330902122e-01
31, 7.677669502670271e-01, 3.021649311372681e-02, 9.809794315235670e+04, -1.137449102126572e+00, 2.119543850367616e-01
32, 7.652761283772814e-01, 3.042026514252212e-02, 9.811658972850858e+04, -1.130876695037687e+00, 2.111935791200246e-01
33, 7.627851331352427e-01, 3.062199303148362e-02, 9.812897292594338e+04, -1.126511957300279e+00, 2.105122313139648e-01
34, 7.602940580201185e-01, 3.082273685573188e-02, 9.814814256906326e+04, -1.119755183439689e+00, 2.099189002593362e-01
35, 7.578029756251976e-01, 3.102338959923085e-02, 9.815906832041053e+04, -1.115904155507198e+00, 2.093655251136571e-01
36, 7.553119487696932e-01, 3.122470829445093e-02, 9.816744381311595e+04, -1.112952023856771e+00, 2.089048808371511e-01
37, 7.528212258843371e-01, 3.142976405537950e-02, 9.815460089847201e+04, -1.117478799311970e+00, 2.085409593106838e-01
38, 7.503310574905883e-01, 3.164143081983112e-02, 9.812890831180694e+04, -1.126534732012640e+00, 2.083406915728656e-01
39, 7.478411455017506e-01, 3.185609753594928e-02, 9.811172100947575e+04, -1.132592785070760e+00, 2.082760186403086e-01
40, 7.453510864781877e-01, 3.206904888102160e-02, 9.811038907348513e+04, -1.133062256006088e+00, 2.082932483490877e-01
41, 7.428605822980964e-01, 3.227672421441647e-02, 9.812091394349335e+04, -1.129352527759563e+00, 2.082677226649496e-01
42, 7.403695243637490e-01, 3.247764954030886e-02, 9.813256697835917e+04, -1.125245152317799e+00, 2.081180433353597e-01
43, 7.378779335327420e-01, 3.267185688896018e-02, 9.814530501698999e+04, -1.120755342783126e+00, 2.078982107127286e-01
44, 7.353858806094327e-01, 3.286003900423798e-02, 9.815396927957452e+04, -1.117701427663981e+00, 2.075582516260150e-01
45, 7.328934417843262e-01, 3.304304175318287e-02, 9.816922886460237e+04, -1.112322842126691e+00, 2.072123273628498e-01
46, 7.304006841248106e-01, 3.322165438995912e-02, 9.818270213263431e+04, -1.107573884376896e+00, 2.067968218105427e-01
47, 7.279076713423368e-01, 3.339668138797516e-02, 9.819379447999057e+04, -1.103664135916758e+00, 2.064199384551593e-01
48, 7.254144872780066e-01, 3.356924625891737e-02, 9.820305834448313e+04, -1.100398877556968e+00, 2.060450397371053e-01
49, 7.229211845904051e-01, 3.374008690300245e-02, 9.821396755832220e+04, -1.096553678642911e+00, 2.056835011307329e-01
50, 7.204277931061138e-01, 3.390962731887970e-02, 9.822276222561467e+04, -1.093453799437923e+00, 2.053050053447791e-01
51, 7.179343317965236e-01, 3.407813748690187e-02, 9.823135971597879e+04, -1.090423419696596e+00, 2.049539688653164e-01
