"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, 6.33402771e-02, 3.65717976e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.25297364e-02, 3.65717976e-01, 6.33402771e-02, 0.00000000e+00, 1.73194323e-01, 0.00000000e+00, 0.00000000e+00, -1.76628652e+00, 6.66016371e-02, -1.11162330e+01, 3.69883034e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0005575923
           1, 8.31001543e-02, 4.78786172e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.56604228e-02, 4.78786172e-01, 8.31001543e-02, 0.00000000e+00, 1.73564232e-01, 0.00000000e+00, 0.00000000e+00, -2.01346317e+00, 9.34150695e-02, 1.93282562e-01, 3.45341589e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0010377968
           2, 9.55189331e-02, 5.46613573e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11013519e-01, 5.46613573e-01, 9.55189331e-02, 0.00000000e+00, 1.74746727e-01, 0.00000000e+00, 0.00000000e+00, -2.10422941e+00, 2.03847066e-01, 2.97023587e-01, 3.36116639e+00, 0.00000000e+00, 8.0000000000, 2.6610461037, 0.0015534617
           3, 9.91317128e-02, 5.60590995e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.16771880e-01, 5.60590995e-01, 9.91317128e-02, 0.00000000e+00, 1.76834294e-01, 0.00000000e+00, 0.00000000e+00, -2.16533703e+00, 2.50548997e-01, 3.39503975e-01, 3.29796379e+00, 0.00000000e+00, 9.0000000000, 2.9541702633, 0.0020990138
           4, 9.69314066e-02, 5.39560055e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.16025841e-01, 5.39560055e-01, 9.69314066e-02, 0.00000000e+00, 1.79648967e-01, 0.00000000e+00, 0.00000000e+00, -2.18975714e+00, 2.53189857e-01, 3.45219158e-01, 3.27221329e+00, 0.00000000e+00, 9.0000000000, 3.1694896012, 0.0026738278
           5, 9.19033125e-02, 5.02813564e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.11845644e-01, 5.02813564e-01, 9.19033125e-02, 0.00000000e+00, 1.82778109e-01, 0.00000000e+00, 0.00000000e+00, -2.20119636e+00, 2.40454309e-01, 3.37431156e-01, 3.25957351e+00, 0.00000000e+00, 9.0000000000, 3.2598632565, 0.0032196568
           6, 8.59798126e-02, 4.62825677e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.06333912e-01, 4.62825677e-01, 8.59798126e-02, 0.00000000e+00, 1.85771484e-01, 0.00000000e+00, 0.00000000e+00, -2.20983779e+00, 2.29322858e-01, 3.28966398e-01, 3.24960542e+00, 0.00000000e+00, 9.0000000000, 3.3030792642, 0.0037726400
           7, 8.01195310e-02, 4.25526388e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 1.00585862e-01, 4.25526388e-01, 8.01195310e-02, 0.00000000e+00, 1.88283343e-01, 0.00000000e+00, 0.00000000e+00, -2.21732494e+00, 2.24130821e-01, 3.23748041e-01, 3.24092094e+00, 0.00000000e+00, 9.0000000000, 3.3361050091, 0.0043176083
           8, 7.46970352e-02, 3.93017135e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 9.50689899e-02, 3.93017135e-01, 7.46970352e-02, 0.00000000e+00, 1.90060505e-01, 0.00000000e+00, 0.00000000e+00, -2.22352990e+00, 2.23521522e-01, 3.21310631e-01, 3.23382190e+00, 0.00000000e+00, 9.0000000000, 3.3649861887, 0.0048679696
           9, 6.97885199e-02, 3.65473877e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 8.99155898e-02, 3.65473877e-01, 6.97885199e-02, 0.00000000e+00, 1.90953511e-01, 0.00000000e+00, 0.00000000e+00, -2.22840635e+00, 2.25683540e-01, 3.20391328e-01, 3.22834493e+00, 0.00000000e+00, 9.0000000000, 3.3891108008, 0.0054121724
