"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
141, 3.230414838273643e-01, 4.645428235674961e-02, 1.004761581522373e+05, -2.991934890425935e-01, 2.094918231631393e-01
142, 3.180452933060050e-01, 4.642984437870407e-02, 1.004727661877892e+05, -3.003890635546225e-01, 2.095447639475001e-01
143, 3.130491296699905e-01, 4.640041418851550e-02, 1.004684067501555e+05, -3.019256458512072e-01, 2.095583611804578e-01
144, 3.080529979716002e-01, 4.636599190411134e-02, 1.004688148972840e+05, -3.017817851735879e-01, 2.095439502832440e-01
145, 3.030569031330411e-01, 4.632657766252089e-02, 1.004670381655051e+05, -3.024080344347587e-01, 2.095527086767134e-01
146, 2.980608481746226e-01, 4.628238847100560e-02, 1.004598324339449e+05, -3.049478573385188e-01, 2.095627628370124e-01
147, 2.930648200324109e-01, 4.623525924014368e-02, 1.004512076438043e+05, -3.079878595029077e-01, 2.096228248542157e-01
148, 2.880688235603988e-01, 4.618488716709450e-02, 1.004423965244180e+05, -3.110935376200948e-01, 2.097025154207399e-01
149, 2.830728706593044e-01, 4.613037461774322e-02, 1.004322511796272e+05, -3.146694936282820e-01, 2.098171524397345e-01
150, 2.780769752927947e-01, 4.607082407016463e-02, 1.004269799083595e+05, -3.165274722923213e-01, 2.098965118910610e-01
151, 2.730811543512985e-01, 4.600533816107828e-02, 1.004242999202555e+05, -3.174720946545793e-01, 2.099278524142136e-01
152, 2.680854276708657e-01, 4.593301973255717e-02, 1.004146105372425e+05, -3.208873366315825e-01, 2.100758853532687e-01
153, 2.630898190110912e-01, 4.585297190297329e-02, 1.004032730859463e+05, -3.248834775135510e-01, 2.101743483700950e-01
154, 2.580943561414878e-01, 4.576429813988860e-02, 1.003989662944351e+05, -3.264015034947304e-01, 2.102545468621491e-01
155, 2.530990715122480e-01, 4.566610235662475e-02, 1.004005391278426e+05, -3.258471228216753e-01, 2.102872453149236e-01
156, 2.481039946706255e-01, 4.555785104974579e-02, 1.003973492647673e+05, -3.269714621383361e-01, 2.102939732574623e-01
157, 2.431090776519613e-01, 4.544243975973116e-02, 1.003932044397931e+05, -3.284323993538868e-01, 2.103222594758188e-01
158, 2.381143226589958e-01, 4.532021951409514e-02, 1.003865017788571e+05, -3.307949036491089e-01, 2.103913248428300e-01
159, 2.331197544799690e-01, 4.519059355386425e-02, 1.003806899484677e+05, -3.328434145896367e-01, 2.105423244006421e-01
160, 2.281254004668997e-01, 4.505296547416907e-02, 1.003717099567377e+05, -3.360086155801042e-01, 2.106021583661535e-01
161, 2.231312908837378e-01, 4.490673928725719e-02, 1.003641012691303e+05, -3.386904694475734e-01, 2.106680853906842e-01
162, 2.181374590890525e-01, 4.475131948876193e-02, 1.003599443252178e+05, -3.401556782567504e-01, 2.107232834066285e-01
163, 2.131439416309856e-01, 4.458611112840597e-02, 1.003541135658532e+05, -3.422108611423085e-01, 2.107789687419237e-01
164, 2.081507785837494e-01, 4.441051989621387e-02, 1.003529817603396e+05, -3.426097915689835e-01, 2.108214455253546e-01
165, 2.031580137092637e-01, 4.422395221225383e-02, 1.003520875337906e+05, -3.429249819214678e-01, 2.108578507340473e-01
166, 1.981656921223462e-01, 4.402589508386067e-02, 1.003535531551246e+05, -3.424083905662137e-01, 2.108887588734491e-01
167, 1.931738086396510e-01, 4.381705912367673e-02, 1.003480736558775e+05, -3.443397638865305e-01, 2.108910000337701e-01
168, 1.881823516977306e-01, 4.359826260399634e-02, 1.003418438481203e+05, -3.465356003946516e-01, 2.108454395504623e-01
169, 1.831913218053180e-01, 4.336993079098985e-02, 1.003381069015801e+05, -3.478527716400337e-01, 2.108457434795038e-01
170, 1.782007275733003e-01, 4.313226732952171e-02, 1.003298031603781e+05, -3.507796128518262e-01, 2.108683119595257e-01
171, 1.732105866258035e-01, 4.288527062627658e-02, 1.003256847347523e+05, -3.522312450205140e-01, 2.109070523314578e-01
172, 1.682209272887428e-01, 4.262872998389395e-02, 1.003175188978075e+05, -3.551094787608665e-01, 2.109640204074594e-01
173, 1.632317913519286e-01, 4.236220022886909e-02, 1.002999037282203e+05, -3.613183433011657e-01, 2.109743044628780e-01
174, 1.582432401140726e-01, 4.208494828224478e-02, 1.002866300120947e+05, -3.659969644726466e-01, 2.109752236408017e-01
175, 1.532553613448323e-01, 4.179585621283043e-02, 1.002807696998450e+05, -3.680625639403075e-01, 2.110505820283521e-01
176, 1.482682710830132e-01, 4.149347898077809e-02, 1.002686607198068e+05, -3.723306475602419e-01, 2.111260334046995e-01
177, 1.432819685474805e-01, 4.117837751713928e-02, 1.002573214471786e+05, -3.763274304118220e-01, 2.111993372111125e-01
178, 1.382965801990288e-01, 4.084913395505341e-02, 1.002413569751790e+05, -3.819544692893979e-01, 2.113055165074298e-01
179, 1.333123080923397e-01, 4.050341245981182e-02, 1.002282083757488e+05, -3.865889902545608e-01, 2.114571553461828e-01
180, 1.283293811034751e-01, 4.013882881068349e-02, 1.002125952204840e+05, -3.920921996108807e-01, 2.116426031619145e-01
181, 1.233480480241803e-01, 3.975308627735313e-02, 1.002023849372727e+05, -3.956910446326640e-01, 2.117766637879442e-01
182, 1.183685667000707e-01, 3.934414392272832e-02, 1.001847186160270e+05, -4.019179387307336e-01, 2.118530575645648e-01
183, 1.133911852942473e-01, 3.891039620124837e-02, 1.001846607463562e+05, -4.019383362038165e-01, 2.118182982247075e-01
184, 1.084161450845829e-01, 3.845058021942825e-02, 1.001740066461137e+05, -4.056936145663769e-01, 2.117163801071804e-01
185, 1.034439098781470e-01, 3.796137276109468e-02, 1.001680323312145e+05, -4.077993968437927e-01, 2.116632005259225e-01
186, 9.847461737856508e-02, 3.744312099382713e-02, 1.001679082634059e+05, -4.078431273462737e-01, 2.116707758386555e-01
187, 9.350833598170669e-02, 3.689676513793332e-02, 1.001525327268586e+05, -4.132625826165615e-01, 2.116795508445871e-01
188, 8.854520822552497e-02, 3.632246776492801e-02, 1.001363821727200e+05, -4.189552103485911e-01, 2.117949336842194e-01
189, 8.358548324386468e-02, 3.571949411976891e-02, 1.001119643688719e+05, -4.275618170413877e-01, 2.119996334825596e-01
190, 7.862957736172387e-02, 3.508591030031132e-02, 1.000873609153121e+05, -4.362338601698643e-01, 2.122188994516943e-01
191, 7.367829176981071e-02, 3.441721164171058e-02, 1.000648601507909e+05, -4.441647630358904e-01, 2.123545941335040e-01
192, 6.873463016149078e-02, 3.369443228145052e-02, 1.000964891105625e+05, -4.330164214999371e-01, 2.121401086718067e-01
193, 6.380040455888722e-02, 3.290982942042484e-02, 1.001261084326965e+05, -4.225764221576536e-01, 2.115247568892708e-01
194, 5.887630911103803e-02, 3.206396171409232e-02, 1.001529796438760e+05, -4.131050566155445e-01, 2.107341075016060e-01
195, 5.396220007594102e-02, 3.116184272461610e-02, 1.001662231228994e+05, -4.084370931939686e-01, 2.099093600908888e-01
196, 4.905632073034238e-02, 3.021591759344361e-02, 1.000478518456169e+05, -4.501597245014536e-01, 2.095991452178266e-01
197, 4.415475551761417e-02, 2.924792281925685e-02, 9.990184773555705e+04, -5.016221720922596e-01, 2.104364523476263e-01
198, 3.927502554385903e-02, 2.817640137357907e-02, 1.000061082551583e+05, -4.648731961656991e-01, 2.110790278544877e-01
199, 3.444786604186151e-02, 2.688957563956368e-02, 1.003529889062432e+05, -3.426072728338126e-01, 2.094014483513143e-01
200, 2.968645180543223e-02, 2.537724358108752e-02, 1.006742948081918e+05, -2.293557477030014e-01, 2.050352763315412e-01
201, 2.498142210069014e-02, 2.369681051977071e-02, 1.008575067420282e+05, -1.647785619018770e-01, 2.002201854423592e-01
202, 2.031304439983999e-02, 2.191689613771227e-02, 1.008263968137256e+05, -1.757439590688925e-01, 1.960748159607811e-01
