"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
           0, -1.53012112e-03, 8.77231892e-03, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -8.26333737e-04, 8.77231892e-03, -1.53012112e-03, 0.00000000e+00, -1.74426071e-01, 0.00000000e+00, 0.00000000e+00, -1.77135103e-02, 3.21311465e+00, -1.06803748e+01, 6.22209406e+00, 0.00000000e+00, 9.0000000000, 4.0000000000, 0.0001271854
           1, -1.90558086e-03, 1.31022245e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.09410081e-03, 1.31022245e-02, -1.90558086e-03, 0.00000000e+00, -1.45439491e-01, 0.00000000e+00, 0.00000000e+00, -1.42095395e-01, 3.06558561e+00, 1.68962592e+00, 6.09386694e+00, 0.00000000e+00, 7.0000000000, 2.0020000000, 0.0002468095
           2, -1.96477758e-03, 1.85836602e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.31618761e-03, 1.85836602e-02, -1.96477758e-03, 0.00000000e+00, -1.05726082e-01, 0.00000000e+00, 0.00000000e+00, -1.72736074e-01, 3.01757260e+00, 1.86723848e+00, 6.06316236e+00, 0.00000000e+00, 8.0000000000, 2.3102289176, 0.0003486009
           3, -1.70815947e-03, 2.49790150e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.52231554e-03, 2.49790150e-02, -1.70815947e-03, 0.00000000e+00, -6.83837804e-02, 0.00000000e+00, 0.00000000e+00, -1.97623943e-01, 2.96779064e+00, 2.01932020e+00, 6.03816568e+00, 0.00000000e+00, 8.0000000000, 2.3931799466, 0.0004574767
           4, -1.14148333e-03, 3.23403421e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.75120441e-03, 3.23403421e-02, -1.14148333e-03, 0.00000000e+00, -3.52959571e-02, 0.00000000e+00, 0.00000000e+00, -2.20857679e-01, 2.91615204e+00, 2.14261370e+00, 6.01456975e+00, 0.00000000e+00, 8.0000000000, 2.4627441124, 0.0005649067
           5, -3.27483838e-04, 4.04914804e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.01176087e-03, 4.04914804e-02, -3.27483838e-04, 0.00000000e+00, -8.08772203e-03, 0.00000000e+00, 0.00000000e+00, -2.49832775e-01, 2.87068256e+00, 2.24261600e+00, 5.98467743e+00, 0.00000000e+00, 9.0000000000, 2.5295085846, 0.0006919187
           6, 5.88005109e-04, 4.90523810e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.28411689e-03, 4.90523810e-02, 5.88005109e-04, 0.00000000e+00, 1.19872898e-02, 0.00000000e+00, 0.00000000e+00, -2.80433584e-01, 2.85267174e+00, 2.33557896e+00, 5.95156869e+00, 0.00000000e+00, 9.0000000000, 2.6153131976, 0.0008049231
           7, 1.36953174e-03, 5.73412028e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.52195444e-03, 5.73412028e-02, 1.36953174e-03, 0.00000000e+00, 2.38839032e-02, 0.00000000e+00, 0.00000000e+00, -3.03008843e-01, 2.86323005e+00, 2.42208047e+00, 5.92641582e+00, 0.00000000e+00, 9.0000000000, 2.7090942207, 0.0009130249
           8, 1.57283101e-03, 6.33664746e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.62721191e-03, 6.33664746e-02, 1.57283101e-03, 0.00000000e+00, 2.48211853e-02, 0.00000000e+00, 0.00000000e+00, -3.08023259e-01, 2.87932467e+00, 2.46677494e+00, 5.91736440e+00, 0.00000000e+00, 9.0000000000, 2.7804285522, 0.0010216150
           9, 1.04277798e-03, 6.72263146e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.56639914e-03, 6.72263146e-02, 1.04277798e-03, 0.00000000e+00, 1.55114554e-02, 0.00000000e+00, 0.00000000e+00, -2.75588606e-01, 2.89049150e+00, 2.50630866e+00, 5.95189931e+00, 0.00000000e+00, 9.0000000000, 2.7965265552, 0.0011396140
          10, 5.69023592e-05, 6.88866337e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.39783218e-03, 6.88866337e-02, 5.69023592e-05, 0.00000000e+00, 8.26029029e-04, 0.00000000e+00, 0.00000000e+00, -2.75346186e-01, 2.90398103e+00, 2.52972014e+00, 5.95403679e+00, 0.00000000e+00, 9.0000000000, 2.5001551972, 0.0012535479
          11, -1.35882627e-03, 6.90503712e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -2.13492433e-03, 6.90503712e-02, -1.35882627e-03, 0.00000000e+00, -1.96787685e-02, 0.00000000e+00, 0.00000000e+00, -2.56336378e-01, 2.90482585e+00, 2.54657851e+00, 5.96699690e+00, 0.00000000e+00, 9.0000000000, 2.4980627131, 0.0013602130
          12, -2.90234889e-03, 6.83933532e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.84303579e-03, 6.83933532e-02, -2.90234889e-03, 0.00000000e+00, -4.24361251e-02, 0.00000000e+00, 0.00000000e+00, -2.49372086e-01, 2.89781797e+00, 2.55518549e+00, 5.97397656e+00, 0.00000000e+00, 9.0000000000, 2.3393145702, 0.0014684849
          13, -4.45424383e-03, 6.74320161e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.55176299e-03, 6.74320161e-02, -4.45424383e-03, 0.00000000e+00, -6.60553263e-02, 0.00000000e+00, 0.00000000e+00, -2.54249590e-01, 2.89703360e+00, 2.55586374e+00, 5.97103554e+00, 0.00000000e+00, 9.0000000000, 2.2837164883, 0.0015749929
          14, -5.92022798e-03, 6.63888124e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.28411686e-03, 6.63888124e-02, -5.92022798e-03, 0.00000000e+00, -8.91750849e-02, 0.00000000e+00, 0.00000000e+00, -2.66195541e-01, 2.90100926e+00, 2.55120294e+00, 5.96276481e+00, 0.00000000e+00, 9.0000000000, 2.2965766227, 0.0016932780
          15, -7.16712744e-03, 6.53755421e-02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, -1.07058664e-03, 6.53755421e-02, -7.16712744e-03, 0.00000000e+00, -1.09630103e-01, 0.00000000e+00, 0.00000000e+00, -2.71173585e-01, 2.90863442e+00, 2.54617324e+00, 5.96061955e+00, 0.00000000e+00, 9.0000000000, 2.3283802934, 0.0018601410
